Year,Country,Mean_Score,Std_Score,P5_Score,P95_Score
2025,USA,1.0,0.0,1.0,1.0
2025,CHN,1.0,0.0,1.0,1.0
2025,GBR,0.8458718867097751,4.440892098500626e-15,0.8458718867097795,0.8458718867097795
2025,DEU,1.0,0.0,1.0,1.0
2025,KOR,1.0,0.0,1.0,1.0
2025,JPN,1.0,0.0,1.0,1.0
2025,FRA,1.0,0.0,1.0,1.0
2025,CAN,1.0,0.0,1.0,1.0
2025,ARE,0.9229831333957746,4.440892098500626e-16,0.9229831333957742,0.9229831333957742
2025,IND,0.7962839197537974,2.55351295663786e-15,0.7962839197538,0.7962839197538
2026,USA,0.9220869771654808,0.016961441589908515,0.8918046377944522,0.9497624952084927
2026,CHN,0.8449039174266906,0.029985218021808927,0.7961674433650525,0.8898532836323299
2026,GBR,0.7396593469570077,0.01997171475763624,0.7018400014571214,0.7684418627259979
2026,DEU,0.9086004158205433,0.01609943037158827,0.8807885222210668,0.9337307420550381
2026,KOR,0.840215943204261,0.02338395945091798,0.8041130998953939,0.8749960985069438
2026,JPN,0.9042395920506587,0.015936412956884107,0.8770527325032511,0.9305001456310135
2026,FRA,0.8692106498897064,0.02028379968313369,0.8343352769429004,0.899363498672746
2026,CAN,0.8241166274832156,0.02319091313121752,0.7850500382239339,0.8631990966259728
2026,ARE,0.625512048331519,0.0349105357809652,0.5682679187397518,0.6799131533588513
2026,IND,0.6560341190793857,0.025655260418425658,0.6128826819954509,0.6960328688362345
2027,USA,0.8660218623554625,0.02865656216660809,0.8159108156920656,0.9130659615977705
2027,CHN,0.7468346295959443,0.04496711274940657,0.6758827885739115,0.8150419302410827
2027,GBR,0.6658440307431307,0.030882654272257327,0.6091196581905169,0.7111120263273581
2027,DEU,0.8397330424793521,0.026801821169907168,0.7942703562317248,0.882205115443261
2027,KOR,0.7324477507048269,0.03514980682560882,0.6767715909491083,0.7840956899292338
2027,JPN,0.8323587549737924,0.026061561858389745,0.7884911746397162,0.8755946409171445
2027,FRA,0.7761499223839643,0.0316881846490706,0.7231227359964205,0.8241742899497039
2027,CAN,0.707673889936433,0.03385630892926374,0.6520594595465841,0.7658220753200651
2027,ARE,0.47260609852737695,0.043398415430115266,0.40228410091779415,0.5401595570617788
2027,IND,0.5704738785722996,0.036357854339898014,0.5116400226610044,0.6272696204894458
2028,USA,0.8235962511094309,0.03738887147784071,0.7580848462123939,0.8849951088858362
2028,CHN,0.6794711139157208,0.05383850284085385,0.5954361314053185,0.7618992510990417
2028,GBR,0.6110081075468357,0.03745778409432502,0.5453157261230792,0.6662659254491203
2028,DEU,0.7854498672110671,0.03437998379216901,0.7282578433167936,0.8404485052408707
2028,KOR,0.6542462000867116,0.04171189421713814,0.5907908923214742,0.7157717876330899
2028,JPN,0.7756188332798762,0.03297094079971026,0.7214483262662386,0.8318724861163134
2028,FRA,0.7057601001847713,0.03872767972221281,0.6426128404846083,0.7659819765403931
2028,CAN,0.6242069307500905,0.03932723067051957,0.5622675988422978,0.6922550261382245
2028,ARE,0.3802169378304684,0.04517680581555945,0.3079698928810602,0.4507231029735025
2028,IND,0.5126878553579288,0.04163828805329791,0.44691216821631397,0.5787533346737946
2029,USA,0.7904293812824987,0.04427302307190289,0.7129560475748041,0.8629246534148223
2029,CHN,0.6307956938484793,0.05973201883127524,0.5366547189455447,0.7227481751769571
2029,GBR,0.5684431351954283,0.0416875789522938,0.49871387442384835,0.6294413062107017
2029,DEU,0.7413212301945642,0.03998938629962796,0.6744146815528259,0.8056476555018152
2029,KOR,0.5947097361669174,0.04559569825358316,0.5275257869830252,0.6619655520550449
2029,JPN,0.7293071221183266,0.03791807438818558,0.6693200450341017,0.794310566861911
2029,FRA,0.6503054378035592,0.04333411690986045,0.5810090404783792,0.7201646454157764
2029,CAN,0.5611913738907703,0.042270952250712694,0.49489009476925117,0.6341196232449516
2029,ARE,0.318885123373188,0.04484561186765245,0.24858696947558717,0.3886448984823285
2029,IND,0.47115322196578663,0.0445398085492053,0.4017198509604918,0.541666969599741
2030,USA,0.7639028532173091,0.04992315932292221,0.6760234642388753,0.8452634805971975
2030,CHN,0.5944224401932167,0.0640109420015885,0.4908612570293158,0.6948115286068461
2030,GBR,0.5343482898646345,0.044542990532954706,0.46225963714272916,0.59882882099383
2030,DEU,0.7046210014396164,0.04428321881595917,0.6305196514356048,0.7763148786197265
2030,KOR,0.5478001260473507,0.047975795062965246,0.47765612000485974,0.6185516400659978
2030,JPN,0.6905796131128946,0.04158612366531976,0.6248095116220272,0.762621382581347
2030,FRA,0.6053104008797694,0.04646918866086827,0.5322569956999038,0.6815751497013026
2030,CAN,0.5118247562557848,0.04386056224751634,0.4425163630582032,0.5869983957485568
2030,ARE,0.27553963834798173,0.0438344129098389,0.207875746026314,0.3439609069317466
2030,IND,0.44001905595561186,0.04627812995539969,0.36756304237498644,0.5137871348715691
2031,USA,0.7423298698285307,0.054707606205278314,0.6452331497111146,0.8309669644136298
2031,CHN,0.5666072165402078,0.0673497071529139,0.4558928803227323,0.6737604277081499
2031,GBR,0.5063822716750327,0.046546008692906246,0.4319152738582624,0.574972646535452
2031,DEU,0.6735554651757425,0.04765894269058043,0.5959226940062565,0.7509050570520619
2031,KOR,0.5098676572837847,0.04946058351386561,0.43747998232965896,0.58306818734073
2031,JPN,0.6575882418454636,0.044379260044944205,0.587432810754423,0.7353064064450754
2031,FRA,0.5679718652182194,0.0486619823506649,0.49277237246027067,0.6483105383749025
2031,CAN,0.4720584361240383,0.0446778640170287,0.40151152526653044,0.5483799398577457
