序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Carnegie Mellon University,United States,4.2,16
2,Univ. of California - Berkeley,United States,3.7,15
3,Massachusetts Inst. of Technology,United States,2.7,10
4,HKUST,Hong Kong,2.5,9
5,University of Toronto,Canada,2.4,12
6,Cornell University,United States,2.2,9
7,Columbia University,United States,2.1,9
8,Johns Hopkins University,United States,2.0,9
8,National University of Singapore,Singapore,2.0,7
10,Stanford University,United States,1.9,5
10,Univ. of Illinois at Urbana-Champaign,United States,1.9,5
10,University of Alberta,Canada,1.9,12
13,Univ. of Massachusetts Amherst,United States,1.8,10
13,University of Cambridge,United Kingdom,1.8,7
13,University of Pennsylvania,United States,1.8,8
16,Hebrew University of Jerusalem,Israel,1.7,6
16,Technion,Israel,1.7,8
16,Univ. of California - San Diego,United States,1.7,9
16,Univ. of California - Santa Cruz,United States,1.7,6
16,University of Washington,United States,1.7,7
16,University of Waterloo,Canada,1.7,7
22,ETH Zurich,Switzerland,1.6,3
22,Univ. of Maryland - College Park,United States,1.6,6
22,University of Manchester,United Kingdom,1.6,5
22,University of Michigan,United States,1.6,7
26,Duke University,United States,1.5,4
26,Pennsylvania State University,United States,1.5,5
26,Univ. of California - Los Angeles,United States,1.5,4
26,Univ. of California - Riverside,United States,1.5,4
26,University of Amsterdam,Netherlands,1.5,4
26,University of Edinburgh,United Kingdom,1.5,6
26,University of Illinois at Chicago,United States,1.5,3
26,University of Stuttgart,Germany,1.5,4
34,Bar-Ilan University,Israel,1.4,5
34,Ben-Gurion University of the Negev,Israel,1.4,4
34,Brown University,United States,1.4,4
34,CUHK (SZ),China,1.4,2
34,CUNY,United States,1.4,3
34,Ecole Normale Superieure,France,1.4,2
34,Heidelberg University,Germany,1.4,5
34,MBZUAI,United Arab Emirates,1.4,4
34,Max Planck Society,Germany,1.4,4
34,Rutgers University,United States,1.4,6
34,Simon Fraser University,Canada,1.4,4
34,TTI Chicago,United States,1.4,3
34,TU Berlin,Germany,1.4,6
34,Tel Aviv University,Israel,1.4,5
34,Univ. of California - Irvine,United States,1.4,7
34,University College London,United Kingdom,1.4,3
34,University of British Columbia,Canada,1.4,4
34,University of Oxford,United Kingdom,1.4,4
34,University of Rochester,United States,1.4,3
34,University of York,United Kingdom,1.4,2
54,Arizona State University,United States,1.3,4
54,California Inst. of Technology,United States,1.3,2
54,Chinese University of Hong Kong,Hong Kong,1.3,3
54,EPFL,Switzerland,1.3,3
54,George Washington University,United States,1.3,2
54,Graz University of Technology,Austria,1.3,3
54,Harvard University,United States,1.3,5
54,IST Austria,Austria,1.3,2
54,Imperial College London,United Kingdom,1.3,3
54,King's College London,United Kingdom,1.3,3
54,Kyoto University,Japan,1.3,3
54,NAIST,Japan,1.3,3
54,National Inst. of Informatics,Japan,1.3,4
54,New York University,United States,1.3,3
54,Ohio State University,United States,1.3,4
54,Oregon State University,United States,1.3,4
54,Peking University,China,1.3,3
54,Princeton University,United States,1.3,3
54,RWTH Aachen University,Germany,1.3,4
54,Stony Brook University,United States,1.3,3
54,TU Munich,Germany,1.3,2
54,University of Central Florida,United States,1.3,3
54,University of Montreal,Canada,1.3,4
54,University of Pittsburgh,United States,1.3,4
54,University of Southern California,United States,1.3,3
54,University of Surrey,United Kingdom,1.3,4
54,University of Texas at Austin,United States,1.3,4
54,University of Texas at Dallas,United States,1.3,3
54,Zhejiang University,China,1.3,4
83,Birkbeck University of London,United Kingdom,1.2,3
83,Boston University,United States,1.2,2
83,CRIStAL,France,1.2,2
83,Case Western Reserve University,United States,1.2,2
83,City University of Hong Kong,Hong Kong,1.2,1
83,Czech Technical University,Czech Republic,1.2,2
83,DTU,Denmark,1.2,2
83,George Mason University,United States,1.2,3
83,Georgia Institute of Technology,United States,1.2,4
83,IIT Madras,India,1.2,2
83,Macquarie University,Australia,1.2,2
83,Northeastern University,United States,1.2,3
83,Northwestern University,United States,1.2,2
83,Osaka University,Japan,1.2,3
83,Qatar Computing Research Inst.,Qatar,1.2,3
83,Radboud University,Netherlands,1.2,4
83,Royal Holloway Univ. of London,United Kingdom,1.2,3
83,Seoul National University,South Korea,1.2,3
83,TU Dresden,Germany,1.2,1
83,Texas A&amp;M University,United States,1.2,2
83,UNSW,Australia,1.2,2
83,Univ. of California - Santa Barbara,United States,1.2,4
83,University College Dublin,Ireland,1.2,3
83,University at Buffalo,United States,1.2,2
83,University of Arizona,United States,1.2,3
83,University of Bern,Switzerland,1.2,1
83,University of Birmingham,United Kingdom,1.2,2
83,University of Bristol,United Kingdom,1.2,1
83,University of Connecticut,United States,1.2,1
83,University of Florida,United States,1.2,3
83,University of Haifa,Israel,1.2,3
83,University of Technology Sydney,Australia,1.2,1
83,University of Tokyo,Japan,1.2,3
83,University of Virginia,United States,1.2,3
