序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Tsinghua University,China,12.5,69
2,Peking University,China,12.0,85
3,Carnegie Mellon University,United States,11.4,64
4,Shanghai Jiao Tong University,China,8.4,63
5,Nanjing University,China,7.9,69
6,USTC,China,7.6,36
7,Chinese Academy of Sciences,China,7.3,48
7,Cornell University,United States,7.3,44
9,Nanyang Technological University,Singapore,7.2,34
9,Univ. of Illinois at Urbana-Champaign,United States,7.2,40
11,Zhejiang University,China,7.0,52
12,Stanford University,United States,6.9,32
13,Chinese University of Hong Kong,Hong Kong,6.8,35
14,HKUST,Hong Kong,6.6,38
14,Univ. of Maryland - College Park,United States,6.6,30
16,KAIST,South Korea,6.5,41
17,Univ. of California - Berkeley,United States,6.3,44
17,Univ. of California - San Diego,United States,6.3,48
19,New York University,United States,5.8,40
20,MBZUAI,United Arab Emirates,5.7,30
20,National University of Singapore,Singapore,5.7,34
20,Technion,Israel,5.7,40
23,Massachusetts Inst. of Technology,United States,5.5,56
24,Univ. of California - Los Angeles,United States,5.3,21
25,Georgia Institute of Technology,United States,5.2,43
26,Harbin Institute of Technology,China,5.0,42
27,Renmin University of China,China,4.8,30
27,University of Michigan,United States,4.8,32
29,EPFL,Switzerland,4.7,26
30,Seoul National University,South Korea,4.6,37
31,Johns Hopkins University,United States,4.5,29
31,Singapore Management University,Singapore,4.5,22
31,University of Texas at Austin,United States,4.5,31
34,University of North Carolina,United States,4.4,15
35,Fudan University,China,4.3,28
35,Tel Aviv University,Israel,4.3,22
35,University of Amsterdam,Netherlands,4.3,18
35,University of Southern California,United States,4.3,28
35,University of Washington,United States,4.3,27
40,Univ. of Massachusetts Amherst,United States,4.2,24
40,University of Edinburgh,United Kingdom,4.2,28
42,Beihang University,China,4.1,32
43,Northeastern University,United States,4.0,24
44,Sun Yat-sen University,China,3.9,23
44,University of Pennsylvania,United States,3.9,29
46,Columbia University,United States,3.8,20
46,ETH Zurich,Switzerland,3.8,20
46,UESTC,China,3.8,37
49,TU Munich,Germany,3.7,23
50,Boston University,United States,3.6,21
50,Imperial College London,United Kingdom,3.6,22
50,Texas A&amp;M University,United States,3.6,19
50,University of Copenhagen,Denmark,3.6,18
54,CUHK (SZ),China,3.5,26
55,City University of Hong Kong,Hong Kong,3.4,25
55,Max Planck Society,Germany,3.4,17
55,Westlake University,China,3.4,12
58,University of Cambridge,United Kingdom,3.3,21
58,Wuhan University,China,3.3,20
60,BUPT,China,3.2,36
60,Duke University,United States,3.2,18
60,LMU Munich,Germany,3.2,7
60,Princeton University,United States,3.2,24
60,University of Tokyo,Japan,3.2,15
65,Australian National University,Australia,3.1,16
65,TU Darmstadt,Germany,3.1,8
65,University of Melbourne,Australia,3.1,22
65,University of Wisconsin - Madison,United States,3.1,26
69,Arizona State University,United States,3.0,22
69,University of Illinois at Chicago,United States,3.0,19
69,University of Toronto,Canada,3.0,26
72,Monash University,Australia,2.9,18
72,Northwestern University,United States,2.9,17
72,Rutgers University,United States,2.9,19
72,University College London,United Kingdom,2.9,19
72,University of Rochester,United States,2.9,14
72,University of Waterloo,Canada,2.9,17
78,Pennsylvania State University,United States,2.8,26
78,Stony Brook University,United States,2.8,17
78,University at Buffalo,United States,2.8,12
78,University of Alberta,Canada,2.8,21
78,University of Hong Kong,Hong Kong,2.8,13
78,University of Sydney,Australia,2.8,15
78,University of Virginia,United States,2.8,23
85,Rice University,United States,2.7,14
85,The Hong Kong Polytechnic Univ.,Hong Kong,2.7,14
85,Univ. of California - Santa Barbara,United States,2.7,14
85,University of British Columbia,Canada,2.7,20
85,University of Central Florida,United States,2.7,18
90,Adelaide University,Australia,2.6,13
90,Korea University,South Korea,2.6,16
90,SUTD,Singapore,2.6,9
90,Simon Fraser University,Canada,2.6,16
90,Tianjin University,China,2.6,13
95,Harvard University,United States,2.5,18
95,IISc Bangalore,India,2.5,11
95,KAUST,Saudi Arabia,2.5,13
95,Michigan State University,United States,2.5,11
95,Ohio State University,United States,2.5,12
95,University of Macau,Macao,2.5,14
101,Hebrew University of Jerusalem,Israel,2.4,17
101,Purdue University,United States,2.4,24
101,Sapienza University of Rome,Italy,2.4,15
101,Univ. of California - Santa Cruz,United States,2.4,12
101,University of Oxford,United Kingdom,2.4,14
101,University of Tübingen,Germany,2.4,14
107,Bar-Ilan University,Israel,2.3,9
107,George Mason University,United States,2.3,13
107,Queen Mary University of London,United Kingdom,2.3,10
107,TU Wien,Austria,2.3,14
107,Univ. of California - Davis,United States,2.3,13
107,Univ. of California - Riverside,United States,2.3,15
107,University of Chicago,United States,2.3,16
107,University of Minnesota,United States,2.3,11
107,University of Surrey,United Kingdom,2.3,11
107,University of Technology Sydney,Australia,2.3,11
107,University of Texas at Dallas,United States,2.3,13
118,National Inst. of Informatics,Japan,2.2,13
118,Oregon State University,United States,2.2,10
118,Soochow University,China,2.2,18
118,TU Delft,Netherlands,2.2,8
118,University of Montreal,Canada,2.2,11
118,University of Utah,United States,2.2,14
118,Virginia Tech,United States,2.2,16
118,Washington University in St. Louis,United States,2.2,12
118,Xi'an Jiaotong University,China,2.2,19
118,Yonsei University,South Korea,2.2,15
128,Indiana University,United States,2.1,15
128,Shenzhen University,China,2.1,24
128,Univ. of California - Irvine,United States,2.1,16
128,University of Colorado Boulder,United States,2.1,11
128,Xiamen University,China,2.1,14
133,CISPA Helmholtz Center,Germany,2.0,9
133,Cardiff University,United Kingdom,2.0,14
133,Hong Kong Baptist University,Hong Kong,2.0,10
133,IIT Bombay,India,2.0,11
133,NWPU,China,2.0,10
133,Nankai University,China,2.0,13
133,National Taiwan University,Taiwan,2.0,10
133,POSTECH,South Korea,2.0,10
133,ShanghaiTech University,China,2.0,10
133,University of Würzburg,Germany,2.0,3
143,Brown University,United States,1.9,13
143,King's College London,United Kingdom,1.9,14
143,Macquarie University,Australia,1.9,13
143,Politecnico di Milano,Italy,1.9,8
143,Shandong University,China,1.9,9
143,TTI Chicago,United States,1.9,8
143,Tongji University,China,1.9,7
143,University of Helsinki,Finland,1.9,8
143,Worcester Polytechnic Institute,United States,1.9,6
143,Xidian University,China,1.9,16
153,Czech Technical University,Czech Republic,1.8,11
153,Dartmouth College,United States,1.8,6
153,Emory University,United States,1.8,11
153,Hasso Plattner Institute,Germany,1.8,5
153,IIIT Hyderabad,India,1.8,7
153,INSAIT,Bulgaria,1.8,4
153,Saarland University,Germany,1.8,10
153,UNSW,Australia,1.8,11
153,Universidade de Lisboa,Portugal,1.8,9
153,University of Arizona,United States,1.8,8
153,University of Notre Dame,United States,1.8,7
153,University of Oregon,United States,1.8,4
153,University of Sheffield,United Kingdom,1.8,9
153,University of Trento,Italy,1.8,5
153,University of Warwick,United Kingdom,1.8,9
153,Weizmann Institute of Science,Israel,1.8,7
153,York University,Canada,1.8,8
170,Beijing Jiaotong University,China,1.7,8
170,Ben-Gurion University of the Negev,Israel,1.7,11
170,California Inst. of Technology,United States,1.7,8
170,Dalhousie University,Canada,1.7,7
170,Ecole Normale Superieure,France,1.7,5
170,Griffith University,Australia,1.7,7
170,HUST,China,1.7,8
170,Hunan University,China,1.7,15
170,IIT Delhi,India,1.7,7
170,IIT Madras,India,1.7,8
170,Kyoto University,Japan,1.7,8
170,McGill University,Canada,1.7,9
170,SUSTech,China,1.7,11
170,Univ. of California - Merced,United States,1.7,5
