序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Carnegie Mellon University,United States,2.4,89
2,Massachusetts Inst. of Technology,United States,2.3,52
3,Univ. of California - Berkeley,United States,2.1,52
4,Univ. of Illinois at Urbana-Champaign,United States,2.0,58
5,Univ. of California - San Diego,United States,1.9,51
5,University of Michigan,United States,1.9,51
7,Cornell University,United States,1.8,44
7,Stanford University,United States,1.8,37
7,University of Washington,United States,1.8,50
10,Univ. of Maryland - College Park,United States,1.7,31
10,University of Toronto,Canada,1.7,37
12,Columbia University,United States,1.6,27
12,EPFL,Switzerland,1.6,37
12,ETH Zurich,Switzerland,1.6,30
12,Georgia Institute of Technology,United States,1.6,51
12,University of Pennsylvania,United States,1.6,34
12,University of Texas at Austin,United States,1.6,33
18,Max Planck Society,Germany,1.5,27
18,National University of Singapore,Singapore,1.5,41
18,Northwestern University,United States,1.5,32
18,Princeton University,United States,1.5,31
18,Tsinghua University,China,1.5,43
18,Univ. of California - Irvine,United States,1.5,34
18,Univ. of California - Los Angeles,United States,1.5,24
18,University of Edinburgh,United Kingdom,1.5,34
18,University of Waterloo,Canada,1.5,31
18,University of Wisconsin - Madison,United States,1.5,24
28,Chinese University of Hong Kong,Hong Kong,1.4,25
28,Duke University,United States,1.4,22
28,HKUST,Hong Kong,1.4,26
28,Johns Hopkins University,United States,1.4,21
28,KAIST,South Korea,1.4,40
28,New York University,United States,1.4,32
28,Northeastern University,United States,1.4,34
28,Peking University,China,1.4,46
28,Seoul National University,South Korea,1.4,30
28,TU Munich,Germany,1.4,30
28,Technion,Israel,1.4,34
28,Tel Aviv University,Israel,1.4,22
28,University of Southern California,United States,1.4,23
28,University of Tokyo,Japan,1.4,27
28,Yale University,United States,1.4,20
28,Zhejiang University,China,1.4,39
44,Boston University,United States,1.3,20
44,Brown University,United States,1.3,17
44,Chinese Academy of Sciences,China,1.3,28
44,Harvard University,United States,1.3,18
44,MBZUAI,United Arab Emirates,1.3,19
44,Nanjing University,China,1.3,21
44,Nanyang Technological University,Singapore,1.3,26
44,National Taiwan University,Taiwan,1.3,15
44,North Carolina State University,United States,1.3,19
44,Oregon State University,United States,1.3,15
44,Pennsylvania State University,United States,1.3,20
44,Purdue University,United States,1.3,29
44,RWTH Aachen University,Germany,1.3,15
44,Rutgers University,United States,1.3,12
44,Sapienza University of Rome,Italy,1.3,19
44,Univ. of Massachusetts Amherst,United States,1.3,17
44,University of Alberta,Canada,1.3,21
44,University of British Columbia,Canada,1.3,26
44,University of Cambridge,United Kingdom,1.3,23
44,University of Colorado Boulder,United States,1.3,18
44,University of Minnesota,United States,1.3,23
44,University of Oxford,United Kingdom,1.3,26
44,University of Utah,United States,1.3,21
44,Weizmann Institute of Science,Israel,1.3,14
68,Aarhus University,Denmark,1.2,14
68,Adelaide University,Australia,1.2,15
68,Arizona State University,United States,1.2,17
68,Bar-Ilan University,Israel,1.2,14
68,CISPA Helmholtz Center,Germany,1.2,10
68,CUHK (SZ),China,1.2,8
68,California Inst. of Technology,United States,1.2,15
68,Dartmouth College,United States,1.2,11
68,Ecole Normale Superieure,France,1.2,10
68,Fudan University,China,1.2,18
68,Hebrew University of Jerusalem,Israel,1.2,15
68,IISc Bangalore,India,1.2,13
68,IIT Bombay,India,1.2,16
68,IIT Delhi,India,1.2,13
68,IST Austria,Austria,1.2,11
68,Imperial College London,United Kingdom,1.2,19
68,Indiana University,United States,1.2,14
68,KU Leuven,Belgium,1.2,13
68,Karlsruhe Inst. of Technology,Germany,1.2,10
68,LMU Munich,Germany,1.2,14
68,Monash University,Australia,1.2,15
68,National Inst. of Informatics,Japan,1.2,11
68,Ohio State University,United States,1.2,16
68,POSTECH,South Korea,1.2,13
68,Politecnico di Milano,Italy,1.2,16
68,Shanghai Jiao Tong University,China,1.2,21
68,Simon Fraser University,Canada,1.2,14
68,Singapore Management University,Singapore,1.2,16
68,Stony Brook University,United States,1.2,22
68,TU Darmstadt,Germany,1.2,14
68,TU Delft,Netherlands,1.2,19
68,TU Wien,Austria,1.2,21
68,Texas A&amp;M University,United States,1.2,14
68,The Hong Kong Polytechnic Univ.,Hong Kong,1.2,7
68,UNSW,Australia,1.2,14
68,Univ. of California - Davis,United States,1.2,12
68,Univ. of California - Merced,United States,1.2,6
68,Univ. of California - Riverside,United States,1.2,17
68,Univ. of California - Santa Barbara,United States,1.2,14
68,Univ. of California - Santa Cruz,United States,1.2,21
68,Universidade de Lisboa,Portugal,1.2,17
68,University College London,United Kingdom,1.2,23
68,University of Bonn,Germany,1.2,12
68,University of Chicago,United States,1.2,19
68,University of Copenhagen,Denmark,1.2,17
68,University of Illinois at Chicago,United States,1.2,17
68,University of North Carolina,United States,1.2,16
68,University of Pittsburgh,United States,1.2,14
68,University of Stuttgart,Germany,1.2,13
68,University of Texas at Dallas,United States,1.2,10
