typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20000101,2000,52,2000,251,FRA,France,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,6979427,TRUE,,FALSE,1203463601,,1203463601,4,FALSE,FALSE
C,A,20000101,2000,52,2000,251,FRA,France,X,Export,0,W00,World,0,W00,World,H1,HS,TRUE,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,5279725,TRUE,,FALSE,,1012782351,1012782351,4,FALSE,FALSE
C,A,20000101,2000,52,2000,251,FRA,France,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,8542,Electronic integrated circuits and microassemblies,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,17263451,TRUE,,FALSE,7275526238,,7275526238,4,FALSE,FALSE
C,A,20000101,2000,52,2000,251,FRA,France,X,Export,0,W00,World,0,W00,World,H1,HS,TRUE,8542,Electronic integrated circuits and microassemblies,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,9681594,TRUE,,FALSE,,6734173540,6734173540,4,FALSE,FALSE
C,A,20000101,2000,52,2000,276,DEU,Germany,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,8523,"Media, unrecorded; prepared, for sound recording or similar recording of other phenomena, (excluding products of chapter 37)",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,104410282,TRUE,,FALSE,930640000,,930640000,4,FALSE,FALSE
C,A,20000101,2000,52,2000,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H1,HS,TRUE,8523,"Media, unrecorded; prepared, for sound recording or similar recording of other phenomena, (excluding products of chapter 37)",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,136654354,TRUE,,FALSE,,843777000,843777000,4,FALSE,FALSE
C,A,20000101,2000,52,2000,276,DEU,Germany,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,12272013,TRUE,,FALSE,2233694000,,2233694000,4,FALSE,FALSE
C,A,20000101,2000,52,2000,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H1,HS,TRUE,8541,"Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,12051270,TRUE,,FALSE,,2214376000,2214376000,4,FALSE,FALSE
C,A,20000101,2000,52,2000,276,DEU,Germany,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,8542,Electronic integrated circuits and microassemblies,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,15243971,TRUE,,FALSE,11708339000,,11708339000,4,FALSE,FALSE
C,A,20000101,2000,52,2000,276,DEU,Germany,X,Export,0,W00,World,0,W00,World,H1,HS,TRUE,8542,Electronic integrated circuits and microassemblies,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,9207695,TRUE,,FALSE,,9779127000,9779127000,4,FALSE,FALSE
