序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Tsinghua University,China,17.2,88
2,Shanghai Jiao Tong University,China,15.4,97
3,Peking University,China,14.7,91
3,Zhejiang University,China,14.7,81
5,Nanjing University,China,14.5,91
6,USTC,China,13.7,49
7,KAIST,South Korea,12.5,57
8,Nanyang Technological University,Singapore,12.3,46
9,Chinese Academy of Sciences,China,12.1,51
10,National University of Singapore,Singapore,11.2,37
11,Harbin Institute of Technology,China,9.7,64
12,Carnegie Mellon University,United States,9.5,64
12,Renmin University of China,China,9.5,40
14,HKUST,Hong Kong,9.3,53
15,Fudan University,China,8.8,45
16,Univ. of Illinois at Urbana-Champaign,United States,8.3,50
17,Chinese University of Hong Kong,Hong Kong,8.0,33
18,Univ. of California - San Diego,United States,7.6,53
19,Seoul National University,South Korea,7.4,53
20,MBZUAI,United Arab Emirates,7.3,50
20,Univ. of Maryland - College Park,United States,7.3,41
22,Georgia Institute of Technology,United States,7.1,55
23,Beihang University,China,6.5,33
23,Singapore Management University,Singapore,6.5,27
25,Sun Yat-sen University,China,6.1,23
26,Univ. of California - Berkeley,United States,6.0,43
27,Stanford University,United States,5.9,32
27,The Hong Kong Polytechnic Univ.,Hong Kong,5.9,23
29,CUHK (SZ),China,5.8,35
30,Massachusetts Inst. of Technology,United States,5.7,55
31,UESTC,China,5.6,45
32,Johns Hopkins University,United States,5.5,43
32,University of Edinburgh,United Kingdom,5.5,38
34,BUPT,China,5.4,38
34,City University of Hong Kong,Hong Kong,5.4,33
34,TU Munich,Germany,5.4,33
37,Cornell University,United States,5.3,40
37,Shenzhen University,China,5.3,52
37,Wuhan University,China,5.3,25
40,Univ. of Massachusetts Amherst,United States,5.2,33
40,University of Michigan,United States,5.2,40
42,EPFL,Switzerland,5.0,32
42,ETH Zurich,Switzerland,5.0,25
44,POSTECH,South Korea,4.9,18
44,Xiamen University,China,4.9,25
46,University of Pennsylvania,United States,4.8,31
46,University of Wisconsin - Madison,United States,4.8,46
48,University of Texas at Austin,United States,4.7,33
49,Tel Aviv University,Israel,4.6,25
49,University of Southern California,United States,4.6,36
51,Columbia University,United States,4.5,28
51,Purdue University,United States,4.5,26
51,Technion,Israel,4.5,35
54,University of Amsterdam,Netherlands,4.4,17
55,Pennsylvania State University,United States,4.3,22
55,Xi'an Jiaotong University,China,4.3,27
55,Xidian University,China,4.3,35
58,New York University,United States,4.2,36
58,University of North Carolina,United States,4.2,18
60,Max Planck Society,Germany,4.1,16
60,Northeastern University,United States,4.1,28
60,Univ. of California - Los Angeles,United States,4.1,19
60,University of Central Florida,United States,4.1,27
60,University of Washington,United States,4.1,30
65,Tianjin University,China,4.0,15
66,University of Hong Kong,Hong Kong,3.8,17
66,University of Tokyo,Japan,3.8,14
66,Westlake University,China,3.8,13
66,Yonsei University,South Korea,3.8,21
70,Australian National University,Australia,3.7,18
70,Korea University,South Korea,3.7,28
70,University of Cambridge,United Kingdom,3.7,31
73,Hong Kong Baptist University,Hong Kong,3.6,18
73,University of Sydney,Australia,3.6,18
75,ShanghaiTech University,China,3.5,18
75,University of Copenhagen,Denmark,3.5,28
75,University of Illinois at Chicago,United States,3.5,16
75,University of Toronto,Canada,3.5,32
79,Monash University,Australia,3.4,22
80,Adelaide University,Australia,3.3,19
80,Arizona State University,United States,3.3,21
80,Boston University,United States,3.3,19
80,Imperial College London,United Kingdom,3.3,24
80,Princeton University,United States,3.3,28
80,Sungkyunkwan University,South Korea,3.3,14
80,Texas A&amp;M University,United States,3.3,21
80,University of Macau,Macao,3.3,16
88,KAUST,Saudi Arabia,3.2,9
88,University of Tübingen,Germany,3.2,15
88,University of Virginia,United States,3.2,26
91,Sichuan University,China,3.1,16
91,Univ. of California - Santa Cruz,United States,3.1,12
93,CISPA Helmholtz Center,Germany,3.0,13
93,Rochester Inst. of Technology,United States,3.0,14
93,SUTD,Singapore,3.0,11
93,TU Darmstadt,Germany,3.0,9
93,University of Alberta,Canada,3.0,26
93,University of Melbourne,Australia,3.0,20
93,University of Texas at Dallas,United States,3.0,18
100,Univ. of California - Santa Barbara,United States,2.9,22
100,Virginia Tech,United States,2.9,18
102,King's College London,United Kingdom,2.8,16
102,Macquarie University,Australia,2.8,15
102,Nankai University,China,2.8,17
102,Rutgers University,United States,2.8,20
102,University of British Columbia,Canada,2.8,18
102,University of Manchester,United Kingdom,2.8,14
102,University of Montreal,Canada,2.8,16
102,University of Surrey,United Kingdom,2.8,17
102,University of Technology Sydney,Australia,2.8,15
102,University of Waterloo,Canada,2.8,21
112,HUST,China,2.7,14
112,Harvard University,United States,2.7,22
112,IIT Delhi,India,2.7,15
112,LMU Munich,Germany,2.7,11
112,Soochow University,China,2.7,19
112,Stony Brook University,United States,2.7,19
112,TU Delft,Netherlands,2.7,24
112,Univ. of California - Davis,United States,2.7,18
112,University College London,United Kingdom,2.7,20
121,Duke University,United States,2.6,22
121,National Taiwan University,Taiwan,2.6,18
121,Northwestern University,United States,2.6,23
121,Ohio State University,United States,2.6,15
121,SUSTech,China,2.6,16
121,Tongji University,China,2.6,9
121,Univ. of California - Irvine,United States,2.6,20
121,University at Buffalo,United States,2.6,19
121,University of Minnesota,United States,2.6,14
121,University of Notre Dame,United States,2.6,9
121,University of Oxford,United Kingdom,2.6,17
132,Beijing Jiaotong University,China,2.5,11
132,NWPU,China,2.5,13
132,Oregon State University,United States,2.5,15
132,Sapienza University of Rome,Italy,2.5,19
132,Simon Fraser University,Canada,2.5,18
137,IIT Bombay,India,2.4,14
137,RMIT University,Australia,2.4,21
137,Rice University,United States,2.4,16
137,TU Wien,Austria,2.4,17
137,UNSW,Australia,2.4,15
137,University of Würzburg,Germany,2.4,7
137,Yale University,United States,2.4,12
144,Cardiff University,United Kingdom,2.3,15
144,Hebrew University of Jerusalem,Israel,2.3,15
144,Politecnico di Milano,Italy,2.3,11
147,Aalto University,Finland,2.2,12
147,Brown University,United States,2.2,15
147,Dartmouth College,United States,2.2,9
147,George Mason University,United States,2.2,16
147,National Chiao Tung University,Taiwan,2.2,12
147,SUFE,China,2.2,13
147,Shandong University,China,2.2,12
147,University of Trento,Italy,2.2,10
147,University of Warwick,United Kingdom,2.2,16
156,Central South University,China,2.1,14
156,IIT Kharagpur,India,2.1,13
156,INSAIT,Bulgaria,2.1,5
156,Michigan State University,United States,2.1,8
156,North Carolina State University,United States,2.1,17
156,Saarland University,Germany,2.1,9
156,UNIST,South Korea,2.1,12
156,University of Glasgow,United Kingdom,2.1,13
156,Washington University in St. Louis,United States,2.1,13
165,Bar-Ilan University,Israel,2.0,11
165,College of William and Mary,United States,2.0,9
165,Griffith University,Australia,2.0,7
165,Indiana University,United States,2.0,13
165,Univ. of California - Merced,United States,2.0,4
165,University of Chicago,United States,2.0,18
165,University of Helsinki,Finland,2.0,12
165,University of Queensland,Australia,2.0,6
165,University of Sheffield,United Kingdom,2.0,9
165,University of Utah,United States,2.0,14
165,Vanderbilt University,United States,2.0,18
176,Aarhus University,Denmark,1.9,10
176,Emory University,United States,1.9,9
176,IST Austria,Austria,1.9,6
176,Lancaster University,United Kingdom,1.9,6
176,Leiden University,Netherlands,1.9,11
176,RWTH Aachen University,Germany,1.9,9
176,University of Exeter,United Kingdom,1.9,8
176,University of Georgia,United States,1.9,10
176,University of Stuttgart,Germany,1.9,9
176,Wayne State University,United States,1.9,7
186,California Inst. of Technology,United States,1.8,10
186,Concordia University,Canada,1.8,7
186,IISc Bangalore,India,1.8,8
186,KU Leuven,Belgium,1.8,8
186,Karlsruhe Inst. of Technology,Germany,1.8,11
186,Kyoto University,Japan,1.8,7
186,Lehigh University,United States,1.8,5
186,NJIT,United States,1.8,9
186,National Inst. of Informatics,Japan,1.8,10
186,Osaka University,Japan,1.8,9
186,Queen Mary University of London,United Kingdom,1.8,10
