序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Carnegie Mellon University,United States,5.6,32
2,Peking University,China,4.4,35
3,Tsinghua University,China,4.1,27
4,Cornell University,United States,3.7,23
5,Chinese Academy of Sciences,China,3.5,22
6,Massachusetts Inst. of Technology,United States,3.4,22
6,Univ. of California - Berkeley,United States,3.4,21
8,University of Washington,United States,3.3,16
9,HKUST,Hong Kong,3.2,15
9,Stanford University,United States,3.2,15
11,National University of Singapore,Singapore,3.0,14
11,Univ. of California - San Diego,United States,3.0,21
13,MBZUAI,United Arab Emirates,2.8,12
13,Univ. of Illinois at Urbana-Champaign,United States,2.8,17
15,Chinese University of Hong Kong,Hong Kong,2.7,15
15,Nanjing University,China,2.7,18
15,University of Edinburgh,United Kingdom,2.7,20
15,University of Texas at Austin,United States,2.7,12
19,Nanyang Technological University,Singapore,2.6,14
19,University of Amsterdam,Netherlands,2.6,11
19,University of Toronto,Canada,2.6,16
22,Johns Hopkins University,United States,2.5,9
22,Max Planck Society,Germany,2.5,12
22,Univ. of Maryland - College Park,United States,2.5,12
22,University of Alberta,Canada,2.5,14
22,University of Tokyo,Japan,2.5,12
27,EPFL,Switzerland,2.4,12
27,Univ. of Massachusetts Amherst,United States,2.4,13
29,KAIST,South Korea,2.3,17
29,New York University,United States,2.3,14
29,Technion,Israel,2.3,19
29,University of Michigan,United States,2.3,16
29,University of Pennsylvania,United States,2.3,14
29,Zhejiang University,China,2.3,21
35,Georgia Institute of Technology,United States,2.2,17
35,Seoul National University,South Korea,2.2,13
35,University of Cambridge,United Kingdom,2.2,11
38,Oregon State University,United States,2.1,10
38,TU Munich,Germany,2.1,9
38,University of British Columbia,Canada,2.1,10
41,Ben-Gurion University of the Negev,Israel,2.0,9
41,Columbia University,United States,2.0,9
41,Harbin Institute of Technology,China,2.0,15
41,Shanghai Jiao Tong University,China,2.0,19
41,USTC,China,2.0,12
41,University of Illinois at Chicago,United States,2.0,9
41,University of Southern California,United States,2.0,10
41,University of Texas at Dallas,United States,2.0,5
49,Harvard University,United States,1.9,8
49,Imperial College London,United Kingdom,1.9,12
49,Northwestern University,United States,1.9,9
52,Bar-Ilan University,Israel,1.8,10
52,Singapore Management University,Singapore,1.8,11
52,Univ. of California - Los Angeles,United States,1.8,9
52,University of North Carolina,United States,1.8,7
52,University of Oxford,United Kingdom,1.8,10
52,University of Stuttgart,Germany,1.8,8
52,Westlake University,China,1.8,4
59,Adelaide University,Australia,1.7,11
59,Brown University,United States,1.7,8
59,CUHK (SZ),China,1.7,5
59,ETH Zurich,Switzerland,1.7,8
59,Fudan University,China,1.7,9
59,IISc Bangalore,India,1.7,7
59,LMU Munich,Germany,1.7,5
59,National Taiwan University,Taiwan,1.7,8
59,Princeton University,United States,1.7,11
59,Purdue University,United States,1.7,7
59,Rice University,United States,1.7,9
59,Tel Aviv University,Israel,1.7,8
59,Univ. of California - Irvine,United States,1.7,8
59,University at Buffalo,United States,1.7,9
59,University of Montreal,Canada,1.7,5
59,University of Waterloo,Canada,1.7,8
59,University of Wisconsin - Madison,United States,1.7,12
59,Washington University in St. Louis,United States,1.7,10
77,California Inst. of Technology,United States,1.6,6
77,Hebrew University of Jerusalem,Israel,1.6,6
77,National Inst. of Informatics,Japan,1.6,6
77,Northeastern University,United States,1.6,9
77,RWTH Aachen University,Germany,1.6,8
77,Rutgers University,United States,1.6,7
77,Soochow University,China,1.6,12
77,TTI Chicago,United States,1.6,6
77,TU Darmstadt,Germany,1.6,3
77,University of Copenhagen,Denmark,1.6,9
77,University of Melbourne,Australia,1.6,8
88,Australian National University,Australia,1.5,7
88,Beihang University,China,1.5,10
88,Boston University,United States,1.5,7
88,Duke University,United States,1.5,6
88,Ecole Normale Superieure,France,1.5,6
88,Heidelberg University,Germany,1.5,6
88,IIT Delhi,India,1.5,5
88,IIT Madras,India,1.5,5
88,INSAIT,Bulgaria,1.5,2
88,Macquarie University,Australia,1.5,7
88,NWPU,China,1.5,3
88,POSTECH,South Korea,1.5,7
88,Sapienza University of Rome,Italy,1.5,7
88,Simon Fraser University,Canada,1.5,7
88,The Hong Kong Polytechnic Univ.,Hong Kong,1.5,5
88,UESTC,China,1.5,7
88,Univ. of California - Merced,United States,1.5,3
88,Univ. of California - Riverside,United States,1.5,4
88,University College London,United Kingdom,1.5,7
88,University of Rochester,United States,1.5,4
88,University of Surrey,United Kingdom,1.5,9
88,University of Tübingen,Germany,1.5,7
110,CUNY,United States,1.4,5
110,Indiana University,United States,1.4,5
110,KAUST,Saudi Arabia,1.4,5
110,Renmin University of China,China,1.4,9
110,Stony Brook University,United States,1.4,6
110,Tianjin University,China,1.4,4
110,UNSW,Australia,1.4,11
110,Univ. of California - Santa Cruz,United States,1.4,7
110,Universidade de Lisboa,Portugal,1.4,8
110,University of Bonn,Germany,1.4,6
110,University of Chicago,United States,1.4,7
110,University of Freiburg,Germany,1.4,4
110,University of Helsinki,Finland,1.4,8
110,University of Hong Kong,Hong Kong,1.4,3
110,University of Liverpool,United Kingdom,1.4,5
110,University of Minnesota,United States,1.4,8
110,Weizmann Institute of Science,Israel,1.4,3
127,AUEB,Greece,1.3,3
127,Aalto University,Finland,1.3,4
127,Ariel University,Israel,1.3,5
127,Arizona State University,United States,1.3,5
127,CISPA Helmholtz Center,Germany,1.3,3
127,Carleton University,Canada,1.3,1
127,Czech Technical University,Czech Republic,1.3,6
127,DTU,Denmark,1.3,4
127,Graz University of Technology,Austria,1.3,4
127,IIIT Hyderabad,India,1.3,2
127,IIT Bombay,India,1.3,7
127,Kyoto University,Japan,1.3,3
127,McGill University,Canada,1.3,3
127,Michigan State University,United States,1.3,3
127,Monash University,Australia,1.3,4
127,Pennsylvania State University,United States,1.3,4
127,Politecnico di Milano,Italy,1.3,4
127,Polytechnique Montreal,Canada,1.3,5
127,Queen Mary University of London,United Kingdom,1.3,3
127,RMIT University,Australia,1.3,4
