序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Tsinghua University,China,13.2,66
2,Peking University,China,12.1,78
3,Carnegie Mellon University,United States,10.2,58
4,Chinese Academy of Sciences,China,9.1,46
5,Cornell University,United States,7.5,45
6,Zhejiang University,China,6.8,41
7,Nanyang Technological University,Singapore,6.4,30
8,HKUST,Hong Kong,6.3,32
8,Shanghai Jiao Tong University,China,6.3,60
10,Univ. of Illinois at Urbana-Champaign,United States,6.2,39
11,Nanjing University,China,6.1,69
12,MBZUAI,United Arab Emirates,6.0,34
12,Massachusetts Inst. of Technology,United States,6.0,49
12,Stanford University,United States,6.0,33
12,Univ. of Maryland - College Park,United States,6.0,25
16,Chinese University of Hong Kong,Hong Kong,5.9,26
16,USTC,China,5.9,33
18,Univ. of California - San Diego,United States,5.8,47
19,KAIST,South Korea,5.6,47
20,Univ. of California - Berkeley,United States,5.4,42
21,University of Michigan,United States,5.1,33
22,Fudan University,China,5.0,31
22,Seoul National University,South Korea,5.0,32
22,University of Edinburgh,United Kingdom,5.0,29
25,Johns Hopkins University,United States,4.9,29
26,New York University,United States,4.8,38
26,Renmin University of China,China,4.8,30
28,National University of Singapore,Singapore,4.7,21
28,Technion,Israel,4.7,33
30,EPFL,Switzerland,4.5,29
30,Harbin Institute of Technology,China,4.5,41
32,Northeastern University,United States,4.4,31
32,University of Texas at Austin,United States,4.4,25
34,University of Amsterdam,Netherlands,4.3,16
35,University of Washington,United States,4.2,25
36,Univ. of Massachusetts Amherst,United States,4.1,23
37,Max Planck Society,Germany,4.0,17
37,Univ. of California - Los Angeles,United States,4.0,16
37,University of Pennsylvania,United States,4.0,28
37,University of Toronto,Canada,4.0,29
41,Georgia Institute of Technology,United States,3.9,41
42,TU Munich,Germany,3.8,20
42,University of Tokyo,Japan,3.8,17
44,Beihang University,China,3.6,31
44,Sun Yat-sen University,China,3.6,21
44,Tel Aviv University,Israel,3.6,19
44,University of Cambridge,United Kingdom,3.6,21
44,University of Wisconsin - Madison,United States,3.6,27
49,Boston University,United States,3.5,21
49,University of Southern California,United States,3.5,23
51,Columbia University,United States,3.4,15
51,ETH Zurich,Switzerland,3.4,18
51,Singapore Management University,Singapore,3.4,18
51,University of Alberta,Canada,3.4,20
51,University of Melbourne,Australia,3.4,16
56,Imperial College London,United Kingdom,3.3,17
56,University of Illinois at Chicago,United States,3.3,17
56,University of North Carolina,United States,3.3,13
59,BUPT,China,3.1,28
59,Monash University,Australia,3.1,22
59,Rutgers University,United States,3.1,14
59,Texas A&amp;M University,United States,3.1,17
59,Univ. of California - Santa Barbara,United States,3.1,11
59,University of Copenhagen,Denmark,3.1,17
59,University of Oxford,United Kingdom,3.1,18
66,CUHK (SZ),China,3.0,20
66,TU Darmstadt,Germany,3.0,8
66,UESTC,China,3.0,31
66,University at Buffalo,United States,3.0,11
66,University of Rochester,United States,3.0,12
71,Princeton University,United States,2.9,26
71,Purdue University,United States,2.9,17
71,The Hong Kong Polytechnic Univ.,Hong Kong,2.9,16
74,Bar-Ilan University,Israel,2.8,13
74,Cardiff University,United Kingdom,2.8,15
