ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),All works,All publication types,4.876170839782805,2000
All AI research,CHN,China (People's Republic of),All works,All publication types,6.4576534571181465,2001
All AI research,CHN,China (People's Republic of),All works,All publication types,6.581730209767098,2002
All AI research,CHN,China (People's Republic of),All works,All publication types,9.52028379476208,2003
All AI research,CHN,China (People's Republic of),All works,All publication types,15.332754831540107,2004
All AI research,CHN,China (People's Republic of),All works,All publication types,18.184129742037182,2005
All AI research,CHN,China (People's Republic of),All works,All publication types,23.16207555404162,2006
All AI research,CHN,China (People's Republic of),All works,All publication types,25.851669914316364,2007
All AI research,CHN,China (People's Republic of),All works,All publication types,28.33272835007108,2008
All AI research,CHN,China (People's Republic of),All works,All publication types,29.25830516953554,2009
All AI research,CHN,China (People's Republic of),All works,All publication types,28.545959315416074,2010
All AI research,CHN,China (People's Republic of),All works,All publication types,26.183768409106708,2011
All AI research,CHN,China (People's Republic of),All works,All publication types,22.98315304219441,2012
All AI research,CHN,China (People's Republic of),All works,All publication types,21.102764334688953,2013
All AI research,CHN,China (People's Republic of),All works,All publication types,18.994045743343243,2014
All AI research,CHN,China (People's Republic of),All works,All publication types,16.9475330308452,2015
All AI research,CHN,China (People's Republic of),All works,All publication types,15.401708882407863,2016
All AI research,CHN,China (People's Republic of),All works,All publication types,16.243431743277473,2017
All AI research,CHN,China (People's Republic of),All works,All publication types,18.632551494174855,2018
All AI research,CHN,China (People's Republic of),All works,All publication types,20.31295930511365,2019
All AI research,CHN,China (People's Republic of),All works,All publication types,20.60544850383459,2020
All AI research,CHN,China (People's Republic of),All works,All publication types,23.771901101560733,2021
All AI research,CHN,China (People's Republic of),All works,All publication types,29.071030251403762,2022
All AI research,CHN,China (People's Republic of),All works,All publication types,29.305402334973802,2023
All AI research,CHN,China (People's Republic of),All works,All publication types,32.96410593554805,2024
All AI research,CHN,China (People's Republic of),All works,All publication types,34.84465752823738,2025
All AI research,USA,United States,All works,All publication types,27.71074144655685,2000
All AI research,USA,United States,All works,All publication types,26.332846164517406,2001
All AI research,USA,United States,All works,All publication types,30.240151089652606,2002
All AI research,USA,United States,All works,All publication types,28.689173055651196,2003
All AI research,USA,United States,All works,All publication types,21.67494266187872,2004
All AI research,USA,United States,All works,All publication types,22.806756223050986,2005
All AI research,USA,United States,All works,All publication types,18.770503568158354,2006
All AI research,USA,United States,All works,All publication types,17.35824548583811,2007
All AI research,USA,United States,All works,All publication types,15.606491209711777,2008
All AI research,USA,United States,All works,All publication types,15.59293461039932,2009
All AI research,USA,United States,All works,All publication types,14.973322987948972,2010
All AI research,USA,United States,All works,All publication types,15.421927879960759,2011
All AI research,USA,United States,All works,All publication types,14.994436962921275,2012
All AI research,USA,United States,All works,All publication types,14.921197316125312,2013
All AI research,USA,United States,All works,All publication types,14.573679934622131,2014
All AI research,USA,United States,All works,All publication types,15.62247935056896,2015
All AI research,USA,United States,All works,All publication types,15.83395586713167,2016
All AI research,USA,United States,All works,All publication types,16.582607740322096,2017
All AI research,USA,United States,All works,All publication types,17.66112942549934,2018
All AI research,USA,United States,All works,All publication types,18.13894537578432,2019
All AI research,USA,United States,All works,All publication types,18.41949605517617,2020
All AI research,USA,United States,All works,All publication types,16.799695057021165,2021
All AI research,USA,United States,All works,All publication types,12.360967021321876,2022
All AI research,USA,United States,All works,All publication types,12.024618272999188,2023
All AI research,USA,United States,All works,All publication types,11.2300474377788,2024
All AI research,USA,United States,All works,All publication types,12.493526880374354,2025
All AI research,JPN,Japan,All works,All publication types,8.877392580083496,2000
All AI research,JPN,Japan,All works,All publication types,8.619528611906256,2001
All AI research,JPN,Japan,All works,All publication types,10.761977501257478,2002
All AI research,JPN,Japan,All works,All publication types,10.07250022325889,2003
All AI research,JPN,Japan,All works,All publication types,9.241467280865207,2004
All AI research,JPN,Japan,All works,All publication types,9.067029118903557,2005
All AI research,JPN,Japan,All works,All publication types,7.299774983438177,2006
All AI research,JPN,Japan,All works,All publication types,5.996358460289351,2007
All AI research,JPN,Japan,All works,All publication types,6.506083373229249,2008
All AI research,JPN,Japan,All works,All publication types,5.6483660218734695,2009
All AI research,JPN,Japan,All works,All publication types,5.651055524928731,2010
All AI research,JPN,Japan,All works,All publication types,5.265537324399393,2011
All AI research,JPN,Japan,All works,All publication types,5.518224083197288,2012
All AI research,JPN,Japan,All works,All publication types,5.398565366554229,2013
All AI research,JPN,Japan,All works,All publication types,4.877485336798161,2014
All AI research,JPN,Japan,All works,All publication types,4.629015846517061,2015
All AI research,JPN,Japan,All works,All publication types,5.105391837823977,2016
All AI research,JPN,Japan,All works,All publication types,4.616552005151627,2017
All AI research,JPN,Japan,All works,All publication types,4.314382391544868,2018
All AI research,JPN,Japan,All works,All publication types,3.837207429913351,2019
All AI research,JPN,Japan,All works,All publication types,3.509336155766338,2020
All AI research,JPN,Japan,All works,All publication types,3.0356159776236424,2021
All AI research,JPN,Japan,All works,All publication types,2.8473564742897706,2022
All AI research,JPN,Japan,All works,All publication types,2.8384881327469653,2023
All AI research,JPN,Japan,All works,All publication types,2.9408120624357452,2024
All AI research,JPN,Japan,All works,All publication types,2.790145958879902,2025
All AI research,IND,India,All works,All publication types,1.1773045041584875,2000
All AI research,IND,India,All works,All publication types,1.1201761189052455,2001
All AI research,IND,India,All works,All publication types,1.1719766708847499,2002
All AI research,IND,India,All works,All publication types,1.3110256579363564,2003
