序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Carnegie Mellon University,United States,8.5,48
2,Tsinghua University,China,8.1,53
3,Peking University,China,6.6,55
4,Stanford University,United States,5.3,24
4,Univ. of California - Berkeley,United States,5.3,31
6,Nanjing University,China,4.9,44
7,Univ. of California - San Diego,United States,4.8,34
8,Cornell University,United States,4.7,32
9,Chinese Academy of Sciences,China,4.4,29
10,Nanyang Technological University,Singapore,4.3,26
11,Univ. of Illinois at Urbana-Champaign,United States,4.2,31
12,Massachusetts Inst. of Technology,United States,4.1,36
13,National University of Singapore,Singapore,4.0,21
14,Chinese University of Hong Kong,Hong Kong,3.7,18
14,MBZUAI,United Arab Emirates,3.7,17
14,Univ. of Maryland - College Park,United States,3.7,20
17,Technion,Israel,3.6,31
18,HKUST,Hong Kong,3.5,18
18,Shanghai Jiao Tong University,China,3.5,29
20,Univ. of Massachusetts Amherst,United States,3.4,18
20,University of Edinburgh,United Kingdom,3.4,21
20,Zhejiang University,China,3.4,29
23,University of Pennsylvania,United States,3.3,18
23,University of Washington,United States,3.3,24
25,Johns Hopkins University,United States,3.2,16
25,University of Michigan,United States,3.2,24
25,University of Texas at Austin,United States,3.2,17
28,EPFL,Switzerland,3.1,21
28,Fudan University,China,3.1,19
28,Harbin Institute of Technology,China,3.1,28
28,Northeastern University,United States,3.1,20
32,ETH Zurich,Switzerland,3.0,15
32,KAIST,South Korea,3.0,25
32,Renmin University of China,China,3.0,24
32,University of Melbourne,Australia,3.0,19
36,New York University,United States,2.9,25
37,Max Planck Society,Germany,2.8,14
37,USTC,China,2.8,19
39,Georgia Institute of Technology,United States,2.7,21
39,Imperial College London,United Kingdom,2.7,13
39,Princeton University,United States,2.7,16
39,University of Amsterdam,Netherlands,2.7,16
39,University of Southern California,United States,2.7,20
44,Hebrew University of Jerusalem,Israel,2.6,18
44,Monash University,Australia,2.6,18
44,Singapore Management University,Singapore,2.6,20
44,University of Alberta,Canada,2.6,21
44,University of Cambridge,United Kingdom,2.6,14
44,University of Illinois at Chicago,United States,2.6,14
44,University of Oxford,United Kingdom,2.6,15
44,University of Waterloo,Canada,2.6,17
52,Bar-Ilan University,Israel,2.5,12
52,Duke University,United States,2.5,15
52,University of Tokyo,Japan,2.5,14
55,Columbia University,United States,2.4,11
55,NWPU,China,2.4,7
55,Seoul National University,South Korea,2.4,15
55,University of North Carolina,United States,2.4,9
55,University of Toronto,Canada,2.4,19
55,University of Wisconsin - Madison,United States,2.4,15
61,Australian National University,Australia,2.3,11
61,National Inst. of Informatics,Japan,2.3,12
61,Oregon State University,United States,2.3,13
61,Sun Yat-sen University,China,2.3,13
61,TU Darmstadt,Germany,2.3,8
61,Tel Aviv University,Israel,2.3,10
61,University of Montreal,Canada,2.3,8
68,Beihang University,China,2.2,18
68,Harvard University,United States,2.2,12
68,Univ. of California - Irvine,United States,2.2,12
68,Westlake University,China,2.2,7
72,Adelaide University,Australia,2.1,12
72,Boston University,United States,2.1,14
72,TU Munich,Germany,2.1,14
72,University of Copenhagen,Denmark,2.1,10
72,University of Hong Kong,Hong Kong,2.1,9
77,Czech Technical University,Czech Republic,2.0,13
77,KAUST,Saudi Arabia,2.0,9
77,Northwestern University,United States,2.0,14
77,Ohio State University,United States,2.0,11
77,Rutgers University,United States,2.0,10
77,ShanghaiTech University,China,2.0,8
77,Simon Fraser University,Canada,2.0,14
77,The Hong Kong Polytechnic Univ.,Hong Kong,2.0,9
77,UESTC,China,2.0,23
77,Univ. of California - Los Angeles,United States,2.0,10
77,Univ. of California - Santa Cruz,United States,2.0,11
77,University College London,United Kingdom,2.0,12
77,University at Buffalo,United States,2.0,8
77,University of Sydney,Australia,2.0,8
91,CUHK (SZ),China,1.9,9
91,California Inst. of Technology,United States,1.9,9
91,SUTD,Singapore,1.9,6
91,Sapienza University of Rome,Italy,1.9,10
91,Texas A&amp;M University,United States,1.9,6
91,Tianjin University,China,1.9,12
91,University of British Columbia,Canada,1.9,13
91,University of Minnesota,United States,1.9,11
91,University of Rochester,United States,1.9,11
91,University of Texas at Dallas,United States,1.9,10
91,University of Trento,Italy,1.9,8
91,University of Tübingen,Germany,1.9,9
103,Arizona State University,United States,1.8,10
103,Brown University,United States,1.8,8
103,IIT Kanpur,India,1.8,8
103,King's College London,United Kingdom,1.8,10
103,POSTECH,South Korea,1.8,12
103,Rice University,United States,1.8,5
103,Soochow University,China,1.8,10
103,TU Delft,Netherlands,1.8,11
103,University of Chicago,United States,1.8,11
103,University of Surrey,United Kingdom,1.8,12
113,Cardiff University,United Kingdom,1.7,8
113,Heidelberg University,Germany,1.7,7
113,LMU Munich,Germany,1.7,5
