序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Peking University,China,13.4,95
2,Tsinghua University,China,12.7,91
3,Zhejiang University,China,12.6,83
4,Shanghai Jiao Tong University,China,11.9,88
5,USTC,China,11.6,44
6,Nanjing University,China,10.0,96
7,Chinese Academy of Sciences,China,9.8,61
8,National University of Singapore,Singapore,9.4,42
9,KAIST,South Korea,8.8,53
10,Harbin Institute of Technology,China,8.7,64
11,Renmin University of China,China,8.6,40
12,Nanyang Technological University,Singapore,8.5,42
13,HKUST,Hong Kong,7.3,50
14,Carnegie Mellon University,United States,7.1,55
14,Fudan University,China,7.1,48
16,Seoul National University,South Korea,6.7,47
17,UESTC,China,6.4,57
18,Univ. of Illinois at Urbana-Champaign,United States,6.3,44
19,Chinese University of Hong Kong,Hong Kong,6.0,28
20,MBZUAI,United Arab Emirates,5.3,46
21,Sun Yat-sen University,China,5.2,27
22,Wuhan University,China,4.9,32
23,CUHK (SZ),China,4.8,34
24,City University of Hong Kong,Hong Kong,4.7,29
24,Singapore Management University,Singapore,4.7,29
26,Beihang University,China,4.6,35
26,Univ. of Maryland - College Park,United States,4.6,32
26,University of Edinburgh,United Kingdom,4.6,35
29,BUPT,China,4.5,42
29,The Hong Kong Polytechnic Univ.,Hong Kong,4.5,22
31,Shenzhen University,China,4.4,54
31,Univ. of California - San Diego,United States,4.4,43
31,Xiamen University,China,4.4,23
34,Univ. of California - Berkeley,United States,4.3,44
35,Soochow University,China,4.2,27
35,Stanford University,United States,4.2,33
37,University of Melbourne,Australia,4.1,22
38,Cornell University,United States,4.0,39
38,Johns Hopkins University,United States,4.0,30
38,Technion,Israel,4.0,32
41,Tianjin University,China,3.9,15
42,Georgia Institute of Technology,United States,3.8,48
42,Univ. of California - Los Angeles,United States,3.8,20
42,University of Michigan,United States,3.8,26
42,Yonsei University,South Korea,3.8,23
46,TU Munich,Germany,3.7,25
46,Xidian University,China,3.7,38
48,New York University,United States,3.6,36
49,EPFL,Switzerland,3.5,32
49,Korea University,South Korea,3.5,24
49,University of Toronto,Canada,3.5,28
49,University of Virginia,United States,3.5,23
53,POSTECH,South Korea,3.4,22
53,University of North Carolina,United States,3.4,17
53,Xi'an Jiaotong University,China,3.4,27
56,Massachusetts Inst. of Technology,United States,3.3,48
56,Monash University,Australia,3.3,23
56,University of Hong Kong,Hong Kong,3.3,17
56,University of Texas at Austin,United States,3.3,29
60,ETH Zurich,Switzerland,3.2,23
60,Max Planck Society,Germany,3.2,17
60,Ohio State University,United States,3.2,18
60,Tel Aviv University,Israel,3.2,19
64,CISPA Helmholtz Center,Germany,3.1,17
64,Imperial College London,United Kingdom,3.1,25
64,University of Cambridge,United Kingdom,3.1,24
64,University of Washington,United States,3.1,29
64,University of Waterloo,Canada,3.1,19
69,Sichuan University,China,3.0,11
69,University of Amsterdam,Netherlands,3.0,18
69,University of Illinois at Chicago,United States,3.0,14
69,University of Pennsylvania,United States,3.0,31
73,HUST,China,2.9,15
73,Hong Kong Baptist University,Hong Kong,2.9,15
73,Purdue University,United States,2.9,25
73,Texas A&amp;M University,United States,2.9,20
73,University of Central Florida,United States,2.9,20
73,University of Macau,Macao,2.9,20
73,Westlake University,China,2.9,12
80,LMU Munich,Germany,2.8,10
80,Macquarie University,Australia,2.8,16
80,SUSTech,China,2.8,22
83,Arizona State University,United States,2.7,22
83,Columbia University,United States,2.7,20
83,Northeastern University,United States,2.7,29
83,University of Southern California,United States,2.7,31
83,University of Sydney,Australia,2.7,15
83,University of Technology Sydney,Australia,2.7,17
83,University of Tokyo,Japan,2.7,12
90,Sungkyunkwan University,South Korea,2.6,10
90,University of Wisconsin - Madison,United States,2.6,33
92,Boston University,United States,2.5,17
92,Pennsylvania State University,United States,2.5,21
92,ShanghaiTech University,China,2.5,19
92,Stony Brook University,United States,2.5,24
92,Univ. of Massachusetts Amherst,United States,2.5,20
92,University of Copenhagen,Denmark,2.5,17
98,Australian National University,Australia,2.4,14
98,KAUST,Saudi Arabia,2.4,14
98,SUTD,Singapore,2.4,8
98,TU Delft,Netherlands,2.4,16
98,UNSW,Australia,2.4,12
98,Univ. of California - Santa Barbara,United States,2.4,13
104,Adelaide University,Australia,2.3,16
104,Duke University,United States,2.3,16
104,George Mason University,United States,2.3,14
104,Griffith University,Australia,2.3,12
104,Harvard University,United States,2.3,18
104,Nankai University,China,2.3,14
104,Princeton University,United States,2.3,19
104,RMIT University,Australia,2.3,20
104,TU Darmstadt,Germany,2.3,10
104,University of Sheffield,United Kingdom,2.3,13
104,Virginia Tech,United States,2.3,13
115,Northwestern University,United States,2.2,17
115,Sapienza University of Rome,Italy,2.2,13
115,Tongji University,China,2.2,9
115,Univ. of California - Davis,United States,2.2,16
115,University of Alberta,Canada,2.2,21
115,University of British Columbia,Canada,2.2,19
121,Aalborg University,Denmark,2.1,13
121,Bar-Ilan University,Israel,2.1,9
121,Chongqing University,China,2.1,12
121,Michigan State University,United States,2.1,8
121,Rutgers University,United States,2.1,15
121,Shandong University,China,2.1,15
121,TU Wien,Austria,2.1,17
121,University College London,United Kingdom,2.1,16
121,University of Surrey,United Kingdom,2.1,12
121,University of Warwick,United Kingdom,2.1,10
131,Hebrew University of Jerusalem,Israel,2.0,13
131,Hunan University,China,2.0,24
131,IISc Bangalore,India,2.0,8
131,King's College London,United Kingdom,2.0,12
131,NWPU,China,2.0,13
131,North Carolina State University,United States,2.0,14
131,Rochester Inst. of Technology,United States,2.0,13
131,Simon Fraser University,Canada,2.0,16
131,University of Chicago,United States,2.0,15
131,University of Glasgow,United Kingdom,2.0,11
131,University of Montreal,Canada,2.0,14
131,University of Notre Dame,United States,2.0,7
131,Yale University,United States,2.0,14
144,Beijing Jiaotong University,China,1.9,8
144,Ben-Gurion University of the Negev,Israel,1.9,11
144,Brown University,United States,1.9,12
144,Cardiff University,United Kingdom,1.9,10
144,National Chiao Tung University,Taiwan,1.9,13
144,Queen Mary University of London,United Kingdom,1.9,9
144,SUFE,China,1.9,10
144,Univ. of California - Santa Cruz,United States,1.9,8
144,University of Manchester,United Kingdom,1.9,12
144,University of Minnesota,United States,1.9,11
144,University of Trento,Italy,1.9,8
144,University of Tübingen,Germany,1.9,10
156,Central South University,China,1.8,12
156,Friedrich Schiller University Jena,Germany,1.8,6
156,IIT Bombay,India,1.8,13
156,IIT Delhi,India,1.8,10
156,IST Austria,Austria,1.8,7
156,Lancaster University,United Kingdom,1.8,7
156,National Inst. of Informatics,Japan,1.8,11
156,Oregon State University,United States,1.8,9
156,Queen's University Belfast,United Kingdom,1.8,11
156,UNIST,South Korea,1.8,9
156,Univ. of California - Merced,United States,1.8,4
156,Universidade de Lisboa,Portugal,1.8,10
156,University of Birmingham,United Kingdom,1.8,11
156,University of Queensland,Australia,1.8,8
156,University of Texas at Dallas,United States,1.8,14
156,Vanderbilt University,United States,1.8,15
156,Washington University in St. Louis,United States,1.8,11
173,Aalto University,Finland,1.7,9
173,California Inst. of Technology,United States,1.7,10
173,Emory University,United States,1.7,9
173,INSAIT,Bulgaria,1.7,5
173,Karlsruhe Inst. of Technology,Germany,1.7,9
173,Osaka University,Japan,1.7,9
173,Rice University,United States,1.7,11
173,Saarland University,Germany,1.7,8
173,UNC - Charlotte,United States,1.7,9
173,Univ. of California - Irvine,United States,1.7,10
