序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Tsinghua University,China,11.5,63
2,Peking University,China,9.2,61
3,Carnegie Mellon University,United States,8.3,55
4,Nanyang Technological University,Singapore,6.6,28
5,Univ. of California - Berkeley,United States,6.4,45
6,Chinese Academy of Sciences,China,6.1,40
7,Cornell University,United States,5.7,36
8,Shanghai Jiao Tong University,China,5.4,49
9,Zhejiang University,China,5.2,38
10,HKUST,Hong Kong,5.1,27
10,Nanjing University,China,5.1,52
12,Stanford University,United States,5.0,30
12,Technion,Israel,5.0,34
12,Univ. of Illinois at Urbana-Champaign,United States,5.0,29
15,Massachusetts Inst. of Technology,United States,4.8,42
15,University of Texas at Austin,United States,4.8,25
17,MBZUAI,United Arab Emirates,4.6,23
17,Univ. of Maryland - College Park,United States,4.6,26
19,Johns Hopkins University,United States,4.5,25
19,National University of Singapore,Singapore,4.5,22
19,Univ. of California - San Diego,United States,4.5,35
22,Chinese University of Hong Kong,Hong Kong,4.4,21
22,Harbin Institute of Technology,China,4.4,35
22,KAIST,South Korea,4.4,34
25,University of Edinburgh,United Kingdom,4.3,27
25,University of Washington,United States,4.3,27
27,EPFL,Switzerland,4.2,27
27,USTC,China,4.2,30
27,Univ. of Massachusetts Amherst,United States,4.2,21
30,University of Pennsylvania,United States,4.1,25
31,Fudan University,China,4.0,28
31,Max Planck Society,Germany,4.0,15
33,Northeastern University,United States,3.9,33
34,New York University,United States,3.8,29
34,Seoul National University,South Korea,3.8,27
36,Georgia Institute of Technology,United States,3.7,37
37,Sun Yat-sen University,China,3.6,17
37,Univ. of California - Los Angeles,United States,3.6,18
39,Renmin University of China,China,3.5,27
40,Tel Aviv University,Israel,3.4,18
40,University of Tokyo,Japan,3.4,14
42,ETH Zurich,Switzerland,3.3,18
42,University of Amsterdam,Netherlands,3.3,19
42,University of Cambridge,United Kingdom,3.3,23
42,University of Michigan,United States,3.3,25
42,University of Southern California,United States,3.3,24
47,Columbia University,United States,3.2,20
48,University of Wisconsin - Madison,United States,3.0,24
49,University of Melbourne,Australia,2.9,15
50,Monash University,Australia,2.8,13
50,Texas A&amp;M University,United States,2.8,14
50,University of Rochester,United States,2.8,12
53,Beihang University,China,2.7,22
53,Duke University,United States,2.7,15
53,Hebrew University of Jerusalem,Israel,2.7,13
53,Imperial College London,United Kingdom,2.7,19
53,Northwestern University,United States,2.7,15
53,Princeton University,United States,2.7,19
53,TU Darmstadt,Germany,2.7,8
53,Univ. of California - Irvine,United States,2.7,15
61,Bar-Ilan University,Israel,2.6,11
61,Boston University,United States,2.6,17
61,Harvard University,United States,2.6,14
61,Oregon State University,United States,2.6,12
61,University of Alberta,Canada,2.6,16
61,University of Copenhagen,Denmark,2.6,9
61,University of Illinois at Chicago,United States,2.6,11
61,University of North Carolina,United States,2.6,13
61,University of Oxford,United Kingdom,2.6,15
61,University of Toronto,Canada,2.6,20
61,University of Waterloo,Canada,2.6,18
72,Singapore Management University,Singapore,2.5,18
72,TU Munich,Germany,2.5,14
72,Univ. of California - Santa Barbara,United States,2.5,11
75,CUHK (SZ),China,2.4,18
75,IISc Bangalore,India,2.4,9
75,National Inst. of Informatics,Japan,2.4,14
75,Rutgers University,United States,2.4,15
75,Stony Brook University,United States,2.4,11
75,The Hong Kong Polytechnic Univ.,Hong Kong,2.4,13
75,UESTC,China,2.4,26
75,University of Hong Kong,Hong Kong,2.4,13
83,KAUST,Saudi Arabia,2.3,9
83,University College London,United Kingdom,2.3,11
83,University at Buffalo,United States,2.3,10
83,University of British Columbia,Canada,2.3,15
87,Australian National University,Australia,2.2,12
87,BUPT,China,2.2,20
87,California Inst. of Technology,United States,2.2,8
87,Cardiff University,United Kingdom,2.2,10
87,Macquarie University,Australia,2.2,12
87,Pennsylvania State University,United States,2.2,14
87,Purdue University,United States,2.2,17
87,University of Surrey,United Kingdom,2.2,12
87,University of Sydney,Australia,2.2,8
87,Westlake University,China,2.2,9
87,Wuhan University,China,2.2,18
98,Adelaide University,Australia,2.1,12
98,Brown University,United States,2.1,12
98,IIT Bombay,India,2.1,9
98,Nankai University,China,2.1,11
98,POSTECH,South Korea,2.1,15
98,Rice University,United States,2.1,12
98,SUTD,Singapore,2.1,6
98,Simon Fraser University,Canada,2.1,11
106,Arizona State University,United States,2.0,15
106,LMU Munich,Germany,2.0,6
106,Univ. of California - Santa Cruz,United States,2.0,13
106,Universidade de Lisboa,Portugal,2.0,14
106,University of Colorado Boulder,United States,2.0,11
106,University of Montreal,Canada,2.0,8
106,University of Trento,Italy,2.0,7
106,University of Tübingen,Germany,2.0,10
114,National Taiwan University,Taiwan,1.9,10
114,Ohio State University,United States,1.9,9
114,ShanghaiTech University,China,1.9,10
114,TU Delft,Netherlands,1.9,12
114,TU Wien,Austria,1.9,13
114,Tianjin University,China,1.9,14
114,Univ. of California - Merced,United States,1.9,4
114,University of Chicago,United States,1.9,11
114,University of Texas at Dallas,United States,1.9,12
114,Washington University in St. Louis,United States,1.9,10
114,Xiamen University,China,1.9,10
114,Yonsei University,South Korea,1.9,11
126,CISPA Helmholtz Center,Germany,1.8,6
126,Czech Technical University,Czech Republic,1.8,9
126,Heidelberg University,Germany,1.8,8
126,Hong Kong Baptist University,Hong Kong,1.8,11
126,IIIT Hyderabad,India,1.8,12
126,IIT Kharagpur,India,1.8,7
126,INSAIT,Bulgaria,1.8,3
126,Kyoto University,Japan,1.8,8
126,Politecnico di Milano,Italy,1.8,8
126,SUSTech,China,1.8,7
126,Soochow University,China,1.8,14
126,TTI Chicago,United States,1.8,6
126,University of Central Florida,United States,1.8,9
126,University of Minnesota,United States,1.8,8
126,University of Notre Dame,United States,1.8,9
126,University of Sheffield,United Kingdom,1.8,7
126,University of Texas at Arlington,United States,1.8,4
126,University of Virginia,United States,1.8,11
144,Ben-Gurion University of the Negev,Israel,1.7,8
144,City University of Hong Kong,Hong Kong,1.7,8
144,Emory University,United States,1.7,10
144,Graz University of Technology,Austria,1.7,7
144,Indiana University,United States,1.7,9
144,KU Leuven,Belgium,1.7,5
144,Korea University,South Korea,1.7,12
144,RWTH Aachen University,Germany,1.7,7
144,Sapienza University of Rome,Italy,1.7,11
144,Univ. of California - Davis,United States,1.7,9
144,University of Arizona,United States,1.7,8
144,University of Bath,United Kingdom,1.7,8
144,University of Freiburg,Germany,1.7,3
144,University of Macau,Macao,1.7,8
144,University of Warwick,United Kingdom,1.7,10
144,University of Zurich,Switzerland,1.7,5
144,Xidian University,China,1.7,13
161,Ariel University,Israel,1.6,8
161,CRIStAL,France,1.6,8
161,George Mason University,United States,1.6,10
161,Hunan University,China,1.6,12
161,IIT Madras,India,1.6,5
161,King's College London,United Kingdom,1.6,8
161,NWPU,China,1.6,7
161,Queen Mary University of London,United Kingdom,1.6,5
161,Saarland University,Germany,1.6,7
161,UNSW,Australia,1.6,10
161,University of Technology Sydney,Australia,1.6,11
161,Xi'an Jiaotong University,China,1.6,11
161,York University,Canada,1.6,8
174,Aalto University,Finland,1.5,7
174,Dartmouth College,United States,1.5,6
174,IST Austria,Austria,1.5,5
174,McGill University,Canada,1.5,4
174,Michigan State University,United States,1.5,8
174,Temple University,United States,1.5,5
174,University of Birmingham,United Kingdom,1.5,5
174,University of Delaware,United States,1.5,5
174,University of Liverpool,United Kingdom,1.5,5
174,University of Manchester,United Kingdom,1.5,7
174,University of Southampton,United Kingdom,1.5,7
174,University of Utah,United States,1.5,6
174,University of Warsaw,Poland,1.5,5
174,Weizmann Institute of Science,Israel,1.5,8
174,Yale University,United States,1.5,7
189,Beijing Jiaotong University,China,1.4,4
189,Binghamton University,United States,1.4,5
189,Bocconi University,Italy,1.4,3
189,DTU,Denmark,1.4,5
189,Ecole Normale Superieure,France,1.4,4
189,Griffith University,Australia,1.4,5
189,Hasso Plattner Institute,Germany,1.4,2
189,Leiden University,Netherlands,1.4,4
189,NYU Abu Dhabi,United Arab Emirates,1.4,3
189,National Chiao Tung University,Taiwan,1.4,4
189,North Carolina State University,United States,1.4,7
189,Polytechnique Montreal,Canada,1.4,4
189,Royal Holloway Univ. of London,United Kingdom,1.4,6
189,Tongji University,China,1.4,4
189,Tulane University,United States,1.4,3
189,Univ. of California - Riverside,United States,1.4,5
189,University of Glasgow,United Kingdom,1.4,6
189,University of Haifa,Israel,1.4,3
189,University of Helsinki,Finland,1.4,5
189,University of Pittsburgh,United States,1.4,6
189,University of Queensland,Australia,1.4,7
189,University of Stuttgart,Germany,1.4,6
189,University of Tsukuba,Japan,1.4,6
189,University of Vienna,Austria,1.4,3
189,University of Würzburg,Germany,1.4,3
189,Vanderbilt University,United States,1.4,5
215,AUEB,Greece,1.3,5
215,Brandeis University,United States,1.3,5
215,Clemson University,United States,1.3,3
215,Georgetown University,United States,1.3,4
215,IIT Delhi,India,1.3,3
215,IT University of Copenhagen,Denmark,1.3,3
215,Karlsruhe Inst. of Technology,Germany,1.3,4
215,National Tsing Hua University,Taiwan,1.3,6
215,Osaka University,Japan,1.3,5
215,RMIT University,Australia,1.3,7
215,Rochester Inst. of Technology,United States,1.3,6
215,SUFE,China,1.3,4
215,Shandong University,China,1.3,5
215,Sungkyunkwan University,South Korea,1.3,4
215,TU Berlin,Germany,1.3,3
215,TU Dortmund,Germany,1.3,5
215,UFMG,Brazil,1.3,8
215,University of Aberdeen,United Kingdom,1.3,5
215,University of Basel,Switzerland,1.3,3
215,University of Bern,Switzerland,1.3,1
215,University of Bristol,United Kingdom,1.3,6
215,University of Cologne,Germany,1.3,2
215,University of Crete,Greece,1.3,3
215,University of Düsseldorf,Germany,1.3,4
215,University of Hamburg,Germany,1.3,5
215,University of Hannover,Germany,1.3,5
215,University of Kentucky,United States,1.3,4
215,University of Leeds,United Kingdom,1.3,2
215,University of Leipzig,Germany,1.3,4
215,University of Western Australia,Australia,1.3,3
215,Université Laval,Canada,1.3,5
215,Virginia Tech,United States,1.3,4
247,Aarhus University,Denmark,1.2,4
247,Bauhaus University Weimar,Germany,1.2,1
247,Birkbeck University of London,United Kingdom,1.2,3
247,Boston College,United States,1.2,3
247,Central South University,China,1.2,2
247,Colorado School of Mines,United States,1.2,1
247,Colorado State University,United States,1.2,3
247,Dalhousie University,Canada,1.2,3
247,DePaul University,United States,1.2,3
247,Drexel University,United States,1.2,3
