序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Univ. of California - Berkeley,United States,2.4,11
2,Cornell University,United States,2.3,11
3,University of Toronto,Canada,2.1,9
4,Carnegie Mellon University,United States,1.9,9
4,Columbia University,United States,1.9,7
4,Massachusetts Inst. of Technology,United States,1.9,8
4,Technion,Israel,1.9,8
4,University of Alberta,Canada,1.9,8
4,University of Pennsylvania,United States,1.9,8
10,National University of Singapore,Singapore,1.8,9
11,HKUST,Hong Kong,1.7,4
11,Hebrew University of Jerusalem,Israel,1.7,4
11,Johns Hopkins University,United States,1.7,4
11,Yale University,United States,1.7,5
15,Max Planck Society,Germany,1.6,3
15,Univ. of California - San Diego,United States,1.6,6
15,Univ. of Massachusetts Amherst,United States,1.6,7
15,University of Edinburgh,United Kingdom,1.6,8
19,Stanford University,United States,1.5,4
19,Univ. of California - Santa Cruz,United States,1.5,5
19,Univ. of Illinois at Urbana-Champaign,United States,1.5,2
19,University of Amsterdam,Netherlands,1.5,4
23,Brown University,United States,1.4,5
23,NAIST,Japan,1.4,3
23,TU Berlin,Germany,1.4,4
23,Tel Aviv University,Israel,1.4,5
23,University of Athens,Greece,1.4,5
23,University of Cambridge,United Kingdom,1.4,3
23,University of Manchester,United Kingdom,1.4,5
23,University of Sheffield,United Kingdom,1.4,4
23,University of Texas at Austin,United States,1.4,5
23,University of Texas at Dallas,United States,1.4,3
23,University of Waterloo,Canada,1.4,5
34,Ben-Gurion University of the Negev,Israel,1.3,2
34,CUNY,United States,1.3,3
34,Duke University,United States,1.3,2
34,ETH Zurich,Switzerland,1.3,2
34,Georgia Institute of Technology,United States,1.3,5
34,Harvard University,United States,1.3,3
34,Indiana University,United States,1.3,4
34,KU Leuven,Belgium,1.3,3
34,MBZUAI,United Arab Emirates,1.3,3
34,North Carolina State University,United States,1.3,3
34,Northwestern University,United States,1.3,2
34,Radboud University,Netherlands,1.3,2
34,Rutgers University,United States,1.3,3
34,Saarland University,Germany,1.3,3
34,Sapienza University of Rome,Italy,1.3,4
34,Stony Brook University,United States,1.3,2
34,TU Wien,Austria,1.3,4
34,Univ. of California - Irvine,United States,1.3,4
34,University College London,United Kingdom,1.3,2
34,University of British Columbia,Canada,1.3,3
34,University of Florida,United States,1.3,4
34,University of Melbourne,Australia,1.3,4
34,University of Michigan,United States,1.3,4
34,University of Montreal,Canada,1.3,3
