Entity,Code,Year,Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked),Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked)
South Korea,KOR,1997,0,0,0.003,0.001,2.813992,77.08565,28.126123,42.00233,93.936844,0,0,0.003,0.001,2.813992,77.08565,28.126123,42.00233,93.936844
South Korea,KOR,1998,0,0,0.004,0.002,4.279418,89.68897,10.517918,27.876673,102.94981,0,0,0.004,0.002,4.279418,89.68897,10.517918,27.876673,102.94981
South Korea,KOR,1999,0,0,0.004572,0.005839,4.15926,103.06378,11.905647,29.912466,111.09661,0,0,0.004572,0.005839,4.15926,103.06378,11.905647,29.912466,111.09661
South Korea,KOR,2000,0,0.08,0.01,0.02,4.01,108.96,32.83,29.66,114.88,0,0.08,0.01,0.02,4.01,108.96,32.83,29.66,114.88
South Korea,KOR,2001,0,0.09,0.01,0.01,2.33,112.13,34.28,33.67,127.36,0,0.09,0.01,0.01,2.33,112.13,34.28,33.67,127.36
South Korea,KOR,2002,0,0.18,0.01,0.01,3.23,119.1,29.06,42.93,137.49,0,0.18,0.01,0.01,3.23,119.1,29.06,42.93,137.49
South Korea,KOR,2003,0,0.19,0.01,0.02,4.89,129.67,28.35,45.51,139.13,0,0.19,0.01,0.02,4.89,129.67,28.35,45.51,139.13
South Korea,KOR,2004,0,0.29,0.01,0.05,4.31,130.71,26.06,63.18,143.41,0,0.29,0.01,0.05,4.31,130.71,26.06,63.18,143.41
South Korea,KOR,2005,0,0.26,0.01,0.13,3.67,146.78,23.77,64.49,150.36,0,0.26,0.01,0.13,3.67,146.78,23.77,64.49,150.36
South Korea,KOR,2006,0,0.24,0.03,0.24,3.47,148.75,21.43,74.84,153.99,0,0.24,0.03,0.24,3.47,148.75,21.43,74.84,153.99
South Korea,KOR,2007,0,0.38,0.07,0.38,3.63,142.94,22.72,84.4,170.89,0,0.38,0.07,0.38,3.63,142.94,22.72,84.4,170.89
South Korea,KOR,2008,0,0.65,0.28,0.44,3.07,150.96,14.56,81.7,190.95,0,0.65,0.28,0.44,3.07,150.96,14.56,81.7,190.95
South Korea,KOR,2009,0,0.54,0.57,0.69,2.81,147.77,19.34,71.38,209.35,0,0.54,0.57,0.69,2.81,147.77,19.34,71.38,209.35
South Korea,KOR,2010,0,0.42,0.77,0.82,3.68,148.6,18.03,104.3,218.41,0,0.42,0.77,0.82,3.68,148.6,18.03,104.3,218.41
South Korea,KOR,2011,0,1.02,0.92,0.86,4.6,154.72,15.62,115.34,225.08,0,1.02,0.92,0.86,4.6,154.72,15.62,115.34,225.08
South Korea,KOR,2012,0,2.16,1.13,0.91,3.97,150.33,20.34,128.94,223.43,0,2.16,1.13,0.91,3.97,150.33,20.34,128.94,223.43
South Korea,KOR,2013,0,3.12,1.67,1.15,4.29,138.78,20.55,143.85,223.75,0,3.12,1.67,1.15,4.29,138.78,20.55,143.85,223.75
South Korea,KOR,2014,0,6.3,2.69,1.15,2.75,156.41,14.17,130.84,226.07,0,6.3,2.69,1.15,2.75,156.41,14.17,130.84,226.07
South Korea,KOR,2015,0,7.48,4.23,1.34,2.15,164.76,13.13,122.03,232.68,0,7.48,4.23,1.34,2.15,164.76,13.13,122.03,232.68
South Korea,KOR,2016,0,8.08,5.52,1.68,2.85,161.99,17.43,130.52,232.91,0,8.08,5.52,1.68,2.85,161.99,17.43,130.52,232.91
South Korea,KOR,2017,0,9.61,7.74,2.17,2.81,148.43,9.7,135.16,260.79,0,9.61,7.74,2.17,2.81,148.43,9.7,135.16,260.79
South Korea,KOR,2018,0,11.81,10.17,2.46,3.36,133.51,10.65,163.28,257.67,0,11.81,10.17,2.46,3.36,133.51,10.65,163.28,257.67
South Korea,KOR,2019,0,13.35,14.19,2.68,2.79,145.91,7.43,155.41,245.04,0,13.35,14.19,2.68,2.79,145.91,7.43,155.41,245.04
South Korea,KOR,2020,0,14.03,19.34,3.15,3.88,160.18,6.02,162.54,207.97,0,14.03,19.34,3.15,3.88,160.18,6.02,162.54,207.97
South Korea,KOR,2021,0,17.15,24.72,3.18,3.05,158.01,7.1,181.23,213.32,0,17.15,24.72,3.18,3.05,158.01,7.1,181.23,213.32
South Korea,KOR,2022,0,17.85,30.73,3.37,3.54,176.05,7.12,174.71,209.22,0,17.85,30.73,3.37,3.54,176.05,7.12,174.71,209.22
South Korea,KOR,2023,0,18.72,33.24,3.39,3.72,180.49,6.98,169.61,201.34,0,18.72,33.24,3.39,3.72,180.49,6.98,169.61,201.34
South Korea,KOR,2024,0,20.34,32.72,3.36,4.3,188.75,6.78,178.35,190.78,0,20.34,32.72,3.36,4.3,188.75,6.78,178.35,190.78
United Arab Emirates,ARE,1985,0,0,0,0,0,0,0.000997082,12.184003,0,0,0,0,0,0,0,0.000997082,12.184003,0
United Arab Emirates,ARE,1986,0,0,0,0,0,0,0.001068782,12.813931,0,0,0,0,0,0,0,0.001068782,12.813931,0
United Arab Emirates,ARE,1987,0,0,0,0,0,0,0.001136001,13.656864,0,0,0,0,0,0,0,0.001136001,13.656864,0
United Arab Emirates,ARE,1988,0,0,0,0,0,0,0.00123683,14.838763,0,0,0,0,0,0,0,0.00123683,14.838763,0
United Arab Emirates,ARE,1989,0,0,0,0,0,0,0.001295087,15.610705,0,0,0,0,0,0,0,0.001295087,15.610705,0
United Arab Emirates,ARE,1990,0,0,0,0,0,0,0.001418321,17.079582,0,0,0,0,0,0,0,0.001418321,17.079582,0
United Arab Emirates,ARE,1991,0,0,0,0,0,0,0.001440728,17.22056,0,0,0,0,0,0,0,0.001440728,17.22056,0
United Arab Emirates,ARE,1992,0,0,0,0,0,0,0.001550519,18.68745,0,0,0,0,0,0,0,0.001550519,18.68745,0
United Arab Emirates,ARE,1993,0,0,0,0,0,0,0.001805951,21.728193,0,0,0,0,0,0,0,0.001805951,21.728193,0
United Arab Emirates,ARE,1994,0,0,0,0,0,0,0.001971758,23.734028,0,0,0,0,0,0,0,0.001971758,23.734028,0
United Arab Emirates,ARE,1995,0,0,0,0,0,0,0.001738732,24.98026,0,0,0,0,0,0,0,0.001738732,24.98026,0
United Arab Emirates,ARE,1996,0,0,0,0,0,0,0.002005368,26.569994,0,0,0,0,0,0,0,0.002005368,26.569994,0
United Arab Emirates,ARE,1997,0,0,0,0,0,0,0.002630504,28.461369,0,0,0,0,0,0,0,0.002630504,28.461369,0
United Arab Emirates,ARE,1998,0,0,0,0,0,0,0.002731333,33.389267,0,0,0,0,0,0,0,0.002731333,33.389267,0
United Arab Emirates,ARE,1999,0,0,0,0,0,0,0.002818718,37.12318,0,0,0,0,0,0,0,0.002818718,37.12318,0
United Arab Emirates,ARE,2000,0,0,0,0,0,0,0,39.94,0,0,0,0,0,0,0,0,39.94,0
United Arab Emirates,ARE,2001,0,0,0,0,0,0,0,43.17,0,0,0,0,0,0,0,0,43.17,0
United Arab Emirates,ARE,2002,0,0,0,0,0,0,0,46.85,0,0,0,0,0,0,0,0,46.85,0
United Arab Emirates,ARE,2003,0,0,0,0,0,0,0,49.45,0,0,0,0,0,0,0,0,49.45,0
United Arab Emirates,ARE,2004,0,0,0,0,0,0,0,52.41,0,0,0,0,0,0,0,0,52.41,0
United Arab Emirates,ARE,2005,0,0,0,0,0,0,0,60.7,0,0,0,0,0,0,0,0,60.7,0
United Arab Emirates,ARE,2006,0,0,0,0,0,0,0,62.44,0,0,0,0,0,0,0,0,62.44,0
United Arab Emirates,ARE,2007,0,0,0,0,0,0,0,78.76,0,0,0,0,0,0,0,0,78.76,0
United Arab Emirates,ARE,2008,0,0,0,0,0,0,0,80.46,0,0,0,0,0,0,0,0,80.46,0
United Arab Emirates,ARE,2009,0,0,0.01,0,0,0,0,85.69,0,0,0,0.01,0,0,0,0,85.69,0
United Arab Emirates,ARE,2010,0,0,0.02,0,0,0,0,93.93,0,0,0,0.02,0,0,0,0,93.93,0
United Arab Emirates,ARE,2011,0,0,0.02,0,0,0,0,99.11,0,0,0,0.02,0,0,0,0,99.11,0
United Arab Emirates,ARE,2012,0,0,0.02,0,0,0,0,106.19,0,0,0,0.02,0,0,0,0,106.19,0
United Arab Emirates,ARE,2013,0,0,0.09,0,0,0,0,109.9,0,0,0,0.09,0,0,0,0,109.9,0
United Arab Emirates,ARE,2014,0,0,0.31,0,0,0,0,116.23,0,0,0,0.31,0,0,0,0,116.23,0
United Arab Emirates,ARE,2015,0,0,0.3,0,0,0,0,127.08,0,0,0,0.3,0,0,0,0,127.08,0
United Arab Emirates,ARE,2016,0,0,0.32,0,0,0,0,129.29,0,0,0,0.32,0,0,0,0,129.29,0
United Arab Emirates,ARE,2017,0,0,0.75,0,0,0,0,133.82,0,0,0,0.75,0,0,0,0,133.82,0
United Arab Emirates,ARE,2018,0,0,1.2,0,0,0,0,134.81,0,0,0,1.2,0,0,0,0,134.81,0
United Arab Emirates,ARE,2019,0,0,3.66,0,0,0,0,134.79,0,0,0,3.66,0,0,0,0,134.79,0
United Arab Emirates,ARE,2020,0,0,5.18,0,0,1.63,0,129.77,0.73,0,0,5.18,0,0,1.63,0,129.77,0.73
United Arab Emirates,ARE,2021,0,0,6.25,0,0,10.55,0,129.24,3.01,0,0,6.25,0,0,10.55,0,129.24,3.01
United Arab Emirates,ARE,2022,0,0.01,7.74,0,0,20.1,0,127.57,0,0,0.01,7.74,0,0,20.1,0,127.57,0
United Arab Emirates,ARE,2023,0,0.21,14.4,0.06,0,34.44,0,118.42,0,0,0.21,14.4,0.06,0,34.44,0,118.42,0
United Arab Emirates,ARE,2024,0,0.21,15.21,0.2,0,40.63,0,121.01,0,0,0.21,15.21,0.2,0,40.63,0,121.01,0
United Kingdom,GBR,1985,0,0,0.001010101,0,3.9542,61.095,48.307,2.896,177.163,0,0,0.001010101,0,3.9542,61.095,48.307,2.896,177.163
United Kingdom,GBR,1986,0,0,0.001010101,0,4.7683,59.079,31.235,1.743,201.361,0,0,0.001010101,0,4.7683,59.079,31.235,1.743,201.361
United Kingdom,GBR,1987,0,0,0,0,4.1868,55.238,26.268,4.532,209.924,0,0,0,0,4.1868,55.238,26.268,4.532,209.924
United Kingdom,GBR,1988,0,0,0.001010101,0,4.8846,63.456,28.393,4.778,203.374,0,0,0.001010101,0,4.8846,63.456,28.393,4.778,203.374
United Kingdom,GBR,1989,0,0,0,0.009,4.7683,71.734,29.442,4.949,199.938,0,0,0,0.009,4.7683,71.734,29.442,4.949,199.938
United Kingdom,GBR,1990,0,0.6,0,0.01,5.12,65.75,36.83,5,206.44,0,0.6,0,0.01,5.12,65.75,36.83,5,206.44
United Kingdom,GBR,1991,0,0.69,0,0.01,4.54,70.54,29.82,5.82,211.46,0,0.69,0,0.01,4.54,70.54,29.82,5.82,211.46
United Kingdom,GBR,1992,0,0.93,0,0.03,5.35,76.81,31.7,12.58,193.64,0,0.93,0,0.03,5.35,76.81,31.7,12.58,193.64
United Kingdom,GBR,1993,0,1.2,0,0.22,4.3,89.35,22.75,34.04,171.25,0,1.2,0,0.22,4.3,89.35,22.75,34.04,171.25
United Kingdom,GBR,1994,0,1.52,0,0.34,5.12,88.28,16.7,53.26,161.34,0,1.52,0,0.34,5.12,88.28,16.7,53.26,161.34
United Kingdom,GBR,1995,0,1.64,0,0.39,4.65,88.96,22.83,63.74,155.21,0,1.64,0,0.39,4.65,88.96,22.83,63.74,155.21
United Kingdom,GBR,1996,0,1.8,0,0.49,3.4,94.67,19.15,84.09,147.27,0,1.8,0,0.49,3.4,94.67,19.15,84.09,147.27
United Kingdom,GBR,1997,0,2.11,0,0.67,4.4,98.15,12.41,110.96,121.97,0,2.11,0,0.67,4.4,98.15,12.41,110.96,121.97
United Kingdom,GBR,1998,0,2.65,0,0.88,5.12,99.49,13.8,117.8,122.97,0,2.65,0,0.88,5.12,99.49,13.8,117.8,122.97
United Kingdom,GBR,1999,0,3.43,0,0.85,5.34,95.13,14.32,142.9,106.18,0,3.43,0,0.85,5.34,95.13,14.32,142.9,106.18
United Kingdom,GBR,2000,0,3.88,0,0.94,5.09,85.06,14.06,148.08,119.95,0,3.88,0,0.94,5.09,85.06,14.06,148.08,119.95
United Kingdom,GBR,2001,0,4.53,0,0.96,4.05,90.09,11.77,141.91,131.46,0,4.53,0,0.96,4.05,90.09,11.77,141.91,131.46
United Kingdom,GBR,2002,0,5.08,0,1.25,4.79,87.85,11.71,152.28,124.28,0,5.08,0,1.25,4.79,87.85,11.71,152.28,124.28
United Kingdom,GBR,2003,0,6.17,0,1.29,3.23,88.69,11.49,148.88,138.46,0,6.17,0,1.29,3.23,88.69,11.49,148.88,138.46
United Kingdom,GBR,2004,0,7.36,0,1.94,4.84,80,10.93,157.06,131.79,0,7.36,0,1.94,4.84,80,10.93,157.06,131.79
United Kingdom,GBR,2005,0,9.1,0.01,2.9,4.92,81.62,12.52,152.64,134.64,0,9.1,0.01,2.9,4.92,81.62,12.52,152.64,134.64
United Kingdom,GBR,2006,0,9.28,0.01,4.22,4.59,75.45,14.04,140.83,148.85,0,9.28,0.01,4.22,4.59,75.45,14.04,140.83,148.85
United Kingdom,GBR,2007,0,9.32,0.01,5.27,5.08,63.03,12.37,165.79,135.94,0,9.32,0.01,5.27,5.08,63.03,12.37,165.79,135.94
United Kingdom,GBR,2008,0,9.65,0.02,7.13,5.14,52.49,13.93,176.22,124.38,0,9.65,0.02,7.13,5.14,52.49,13.93,176.22,124.38
United Kingdom,GBR,2009,0,10.71,0.02,9.28,5.23,69.1,12.88,166.5,103.04,0,10.71,0.02,9.28,5.23,69.1,12.88,166.5,103.04
United Kingdom,GBR,2010,0,12.26,0.04,10.29,3.59,62.14,10.5,175.65,107.59,0,12.26,0.04,10.29,3.59,62.14,10.5,175.65,107.59
United Kingdom,GBR,2011,0,13.31,0.24,15.96,5.69,68.98,8.85,146.5,108.44,0,13.31,0.24,15.96,5.69,68.98,8.85,146.5,108.44
United Kingdom,GBR,2012,0,14.74,1.35,19.84,5.31,70.41,9.26,100.17,142.79,0,14.74,1.35,19.84,5.31,70.41,9.26,100.17,142.79
United Kingdom,GBR,2013,0,18.1,2.01,28.4,4.7,70.61,8.36,95.84,130.26,0,18.1,2.01,28.4,4.7,70.61,8.36,95.84,130.26
United Kingdom,GBR,2014,0,22.62,4.05,31.95,5.89,63.75,8.69,100.89,100.24,0,22.62,4.05,31.95,5.89,63.75,8.69,100.89,100.24
United Kingdom,GBR,2015,0,29.26,7.53,40.27,6.3,70.34,9.41,99.88,75.88,0,29.26,7.53,40.27,6.3,70.34,9.41,99.88,75.88
United Kingdom,GBR,2016,0,30.07,10.41,37.16,5.37,71.73,10.64,143.13,30.67,0,30.07,10.41,37.16,5.37,71.73,10.64,143.13,30.67
United Kingdom,GBR,2017,0,31.9,11.46,49.65,5.88,70.34,9.71,136.75,22.53,0,31.9,11.46,49.65,5.88,70.34,9.71,136.75,22.53
United Kingdom,GBR,2018,0.01,35.11,12.67,56.91,5.44,65.06,10.24,131.49,16.83,0.01,35.11,12.67,56.91,5.44,65.06,10.24,131.49,16.83
United Kingdom,GBR,2019,0.01,37.54,12.42,63.84,5.93,56.18,11.26,133.09,6.92,0.01,37.54,12.42,63.84,5.93,56.18,11.26,133.09,6.92
United Kingdom,GBR,2020,0,38.58,12.55,75.62,6.88,50.24,8.84,111.89,5.7,0,38.58,12.55,75.62,6.88,50.24,8.84,111.89,5.7
United Kingdom,GBR,2021,0,40.01,12.13,64.93,5.42,46.1,9.68,122.84,6.79,0,40.01,12.13,64.93,5.42,46.1,9.68,122.84,6.79
United Kingdom,GBR,2022,0,35.85,13.34,80.21,5.66,47.4,11.07,125.11,5.94,0,35.85,13.34,80.21,5.66,47.4,11.07,125.11,5.94
United Kingdom,GBR,2023,0,34.1,13.88,82.15,5.54,40.6,10.82,101.66,3.78,0,34.1,13.88,82.15,5.54,40.6,10.82,101.66,3.78
United Kingdom,GBR,2024,0,40.09,14.79,83.28,5.76,40.59,11.45,86.3,1.9,0,40.09,14.79,83.28,5.76,40.59,11.45,86.3,1.9
United States,USA,1985,0,0,0.010737374,0.005820202,287.18237,403.88498,107.74438,313.92038,1507.6647,0,0,0.010737374,0.005820202,287.18237,403.88498,107.74438,313.92038,1507.6647
United States,USA,1986,0,0,0.014173738,0.004231313,296.97498,435.82953,146.86545,267.21338,1490.1414,0,0,0.014173738,0.004231313,296.97498,435.82953,146.86545,267.21338,1490.1414
United States,USA,1987,0,0,0.01060303,0.003576768,255.4102,479.232,127.41137,293.14066,1573.9584,0,0,0.01060303,0.003576768,255.4102,479.232,127.41137,293.14066,1573.9584
United States,USA,1988,0,0,0.009185859,0.000879798,228.38464,554.7085,160.10706,271.8287,1656.6158,0,0,0.009185859,0.000879798,228.38464,554.7085,160.10706,271.8287,1656.6158
United States,USA,1989,0,0,0.2531323,2.1333768,274.72418,557.2155,176.7296,379.17084,1711.4425,0,0,0.2531323,2.1333768,274.72418,557.2155,176.7296,379.17084,1711.4425
United States,USA,1990,0,0,0.37079495,2.8167677,292.2809,607.22284,135.97871,400.82275,1725.1552,0,0,0.37079495,2.8167677,292.2809,607.22284,135.97871,400.82275,1725.1552
United States,USA,1991,0,0,0.4782529,2.9807587,287.32602,644.80536,128.76514,410.27206,1722.5359,0,0,0.4782529,2.9807587,287.32602,644.80536,128.76514,410.27206,1722.5359
United States,USA,1992,0,0,0.40884447,2.9166899,251.42567,651.34344,107.69265,434.4886,1757.5013,0,0,0.40884447,2.9166899,251.42567,651.34344,107.69265,434.4886,1757.5013
United States,USA,1993,0,0,0.47516188,3.0361888,279.25095,642.4118,121.27761,446.15784,1831.2108,0,0,0.47516188,3.0361888,279.25095,642.4118,121.27761,446.15784,1831.2108
United States,USA,1994,0,0,0.5018728,3.4819283,259.3413,674.1472,113.872025,494.8588,1832.272,0,0,0.5018728,3.4819283,259.3413,674.1472,113.872025,494.8588,1832.272
United States,USA,1995,0,0,0.5144716,3.1962152,311.21982,708.84436,80.165665,533.3956,1853.007,0,0,0.5144716,3.1962152,311.21982,708.84436,80.165665,533.3956,1853.007
United States,USA,1996,0,0,0.54134125,3.2667363,347.54947,710.2406,87.53895,489.30707,1945.7542,0,0,0.54134125,3.2667363,347.54947,710.2406,87.53895,489.30707,1945.7542
United States,USA,1997,0,0,0.5326957,3.3212476,355.9731,661.7307,99.52137,515.4824,1998.2434,0,0,0.5326957,3.3212476,355.9731,661.7307,99.52137,515.4824,1998.2434
United States,USA,1998,0,0,0.52465934,3.0562587,322.08926,709.1601,138.49481,571.2442,2029.0408,0,0,0.52465934,3.0562587,322.08926,709.1601,138.49481,571.2442,2029.0408
United States,USA,1999,0,0,0.5183421,4.5333314,316.6052,766.5833,126.947136,598.2754,2037.8633,0,0,0.5183421,4.5333314,316.6052,766.5833,126.947136,598.2754,2037.8633
United States,USA,2000,14.09,60.73,0.49,5.59,270.03,753.89,116.02,614.99,1966.27,14.09,60.73,0.49,5.59,270.03,753.89,116.02,614.99,1966.27
United States,USA,2001,14.89,49.75,0.54,6.74,208.14,768.83,135.59,639.13,1903.96,14.89,49.75,0.54,6.74,208.14,768.83,135.59,639.13,1903.96
United States,USA,2002,16.14,53.71,0.55,10.35,255.59,780.06,103.69,691.01,1933.13,16.14,53.71,0.55,10.35,255.59,780.06,103.69,691.01,1933.13
United States,USA,2003,16.85,53.34,0.53,11.19,267.27,763.73,132.38,649.91,1973.74,16.85,53.34,0.53,11.19,267.27,763.73,132.38,649.91,1973.74
United States,USA,2004,16.95,53.54,0.58,14.14,259.93,788.53,129.88,710.1,1978.3,16.95,53.54,0.58,14.14,259.93,788.53,129.88,710.1,1978.3
United States,USA,2005,16.64,54.28,0.55,17.81,263.76,781.99,126.13,760.96,2012.87,16.64,54.28,0.55,17.81,263.76,781.99,126.13,760.96,2012.87
United States,USA,2006,16.51,54.86,0.51,26.59,282.69,787.22,71.61,816.44,1990.51,16.51,54.86,0.51,26.59,282.69,787.22,71.61,816.44,1990.51
United States,USA,2007,16.7,55.54,0.61,34.45,240.61,806.42,75.19,896.59,2016.46,16.7,55.54,0.61,34.45,240.61,806.42,75.19,896.59,2016.46
United States,USA,2008,17.32,55.03,0.86,55.36,248.54,806.21,55.43,882.98,1985.8,17.32,55.03,0.86,55.36,248.54,806.21,55.43,882.98,1985.8
United States,USA,2009,17.47,54.49,0.89,73.89,268.82,798.85,48.53,920.98,1755.9,17.47,54.49,0.89,73.89,268.82,798.85,48.53,920.98,1755.9
United States,USA,2010,17.83,56.09,1.21,94.65,254.7,806.97,47.5,987.7,1847.29,17.83,56.09,1.21,94.65,254.7,806.97,47.5,987.7,1847.29
United States,USA,2011,18.14,56.67,1.82,120.18,312.93,790.2,41.81,1013.69,1733.43,18.14,56.67,1.82,120.18,312.93,790.2,41.81,1013.69,1733.43
United States,USA,2012,18.26,57.62,4.33,140.82,271.29,769.33,39.09,1225.89,1514.04,18.26,57.62,4.33,140.82,271.29,769.33,39.09,1225.89,1514.04
United States,USA,2013,18.76,60.86,9.04,167.84,263.88,789.02,40.26,1124.84,1581.11,18.76,60.86,9.04,167.84,263.88,789.02,40.26,1124.84,1581.11
United States,USA,2014,19.08,63.99,28.92,181.65,253.19,797.17,43.69,1126.61,1581.71,19.08,63.99,28.92,181.65,253.19,797.17,43.69,1126.61,1581.71
United States,USA,2015,19.12,63.63,39.03,190.72,243.99,797.18,44.44,1333.48,1352.4,19.12,63.63,39.03,190.72,243.99,797.18,44.44,1333.48,1352.4
United States,USA,2016,19.16,62.76,54.87,226.99,261.13,805.69,39.5,1378.31,1239.15,19.16,62.76,54.87,226.99,261.13,805.69,39.5,1378.31,1239.15
United States,USA,2017,19.04,62.73,77.28,254.3,293.84,804.95,37.89,1296.44,1205.84,19.04,62.73,77.28,254.3,293.84,804.95,37.89,1296.44,1205.84
United States,USA,2018,18.69,61.83,93.36,272.67,286.62,807.08,42.68,1469.13,1149.49,18.69,61.83,93.36,272.67,286.62,807.08,42.68,1469.13,1149.49
United States,USA,2019,17.87,57.51,106.89,295.88,282.61,809.41,37.44,1585.81,964.96,17.87,57.51,106.89,295.88,282.61,809.41,37.44,1585.81,964.96
United States,USA,2020,18.09,54.7,130.72,337.94,279.95,789.88,34.34,1624.17,773.39,18.09,54.7,130.72,337.94,279.95,789.88,34.34,1624.17,773.39
United States,USA,2021,18.24,54.25,164.42,378.2,246.47,779.65,35.2,1579.19,898,18.24,54.25,164.42,378.2,246.47,779.65,35.2,1579.19,898
United States,USA,2022,18.16,51.85,205.07,434.3,248.76,771.54,38.64,1687.06,831.51,18.16,51.85,205.07,434.3,248.76,771.54,38.64,1687.06,831.51
United States,USA,2023,18.45,47.2,238.94,421.14,239.01,774.87,33.13,1806.06,675.11,18.45,47.2,238.94,421.14,239.01,774.87,33.13,1806.06,675.11
United States,USA,2024,17.52,46.42,303.75,451.9,237.04,781.86,30.47,1869.9,652.16,17.52,46.42,303.75,451.9,237.04,781.86,30.47,1869.9,652.16
