Country,Year,Population_Million,GDP_Billion_USD,PPP_Factor,AI_Publications,AI_High_Impact_Publications,AI_High_Impact_Ratio,AI_VC_Investment,AI_VC_Investment_Constant2020,GenAI_VC_Investment,GenAI_VC_Investment_Constant2020,AI_Compute_VC_Investment,AI_Compute_VC_Investment_Constant2020,GitHub_AI_Projects,GitHub_High_Impact_Projects,Electricity_Production_TWh,AI_Publications_log,AI_High_Impact_Publications_log,AI_VC_Investment_log,AI_VC_Investment_Constant2020_log,GenAI_VC_Investment_log,GenAI_VC_Investment_Constant2020_log,AI_Compute_VC_Investment_log,AI_Compute_VC_Investment_Constant2020_log,GitHub_AI_Projects_log,GitHub_High_Impact_Projects_log,Electricity_Production_TWh_log,AI_VC_Investment_Constant2020_lag1,AI_VC_Investment_Constant2020_lag2,AI_VC_Investment_Constant2020_lag3,GenAI_VC_Investment_Constant2020_lag1,GenAI_VC_Investment_Constant2020_lag2,GenAI_VC_Investment_Constant2020_lag3,Electricity_Production_TWh_lag1,Electricity_Production_TWh_lag2,Electricity_Production_TWh_lag3,AI_Publications_YoY_Growth,AI_VC_Investment_Constant2020_YoY_Growth,GitHub_AI_Projects_YoY_Growth,AI_Publications_PerCapita,AI_VC_Investment_Constant2020_PerCapita,GitHub_AI_Projects_PerCapita,AI_VC_Investment_Constant2020_PPP,GenAI_VC_Investment_Constant2020_PPP
CHN,2019,1411.8,17963,0.237,19170.15228325956,6634.253724458709,0.34607204087012433,24701.242865,25000.710416355105,10.0,10.121235823230348,2234.4569140000003,2261.5465363441535,7264.331769,839.4007246,7503.429999999999,9.86116194290614,8.800152186345446,10.114649322744624,10.12669951816423,2.3978952727983707,2.4088564178299645,7.712200921947703,7.724246243912454,8.89086924172012,6.733878831178946,8.923248791816174,38935.20451440781,34995.39291557079,20839.06509264083,8.245320589406612,22.695435906976744,0.0,7166.140000000001,6604.44,6133.16,32.92327976453622,-35.78893259157353,-7.094147421085772,13.578518404348745,17.70839383507232,5.145439700382491,105488.22960487386,42.70563638493818
CHN,2020,1411.8,17963,0.237,22558.845111166705,8264.907159903529,0.3663710229479953,32607.247347,32607.247347,20.0,20.0,6358.952349,6358.952349,5762.306754,571.6760776,7779.07,10.023926839948652,9.019894763446,10.392320521463505,10.392320521463505,3.044522437723423,3.044522437723423,8.757776164010503,8.757776164010503,8.659266678199865,6.350320247268419,8.959320614561266,25000.710416355105,38935.20451440781,34995.39291557079,10.121235823230348,8.245320589406612,22.695435906976744,7503.429999999999,7166.140000000001,6604.44,17.676921799240695,30.425283137829595,-20.676712776387518,15.978782484180979,23.096222798555036,4.081531912452189,137583.3221392405,84.38818565400844
CHN,2021,1411.8,17963,0.237,29356.871662458616,9500.62993304644,0.32362542038822845,53109.878356,50718.953942925466,114.024565,108.89135580073801,9999.6888495,9549.518355168266,5319.723245,527.189301,8534.26,10.287315989040174,9.159218634771483,10.880137051709362,10.834074681045346,4.745145714247813,4.6994922031817765,9.210409254553724,9.164350710029868,8.579364521403827,6.269454744072879,9.051961097564794,32607.247347,25000.710416355105,38935.20451440781,20.0,10.121235823230348,8.245320589406612,7779.07,7503.429999999999,7166.140000000001,30.13463906415521,55.54503390974466,-7.680665537161369,20.79393091263537,35.92502758388261,3.7680430974642305,214004.02507563488,459.4571974714684
CHN,2022,1411.8,17963,0.237,33997.4071715309,11385.036671773008,0.33487955755951676,25078.5079305,22173.9591814602,215.5173075,190.55647140758455,6460.353177499999,5712.126417277075,5518.969349,337.5389332,8848.71,10.43406895460475,9.340143030283375,10.12980637455837,10.00671896643021,5.3776704865106115,5.255182655006071,8.773594045042067,8.65052168648193,8.616127586538333,5.824639102577396,9.088139969103498,50718.953942925466,32607.247347,25000.710416355105,108.89135580073801,20.0,10.121235823230348,8534.26,7779.07,7503.429999999999,15.807322941042678,-56.2807245464629,3.7454223617228832,24.08089472413295,15.706161766156821,3.9091722262360107,93561.00920447342,804.0357443357998
CHN,2023,1411.8,17963,0.237,38211.3142507282,11353.060325801142,0.2971125319403214,21182.585681,17991.641530170004,597.38889,507.39824329504427,3239.705898,2751.6766865848376,5883.067385955882,247.03698748345587,9456.449999999999,10.55091310523152,9.33733069689263,9.960981900435579,9.797718149415772,6.394240860311443,6.231265083949464,8.083546454809294,7.920329057848137,8.680003534061576,5.51357787812271,9.154558069683798,22173.9591814602,50718.953942925466,32607.247347,190.55647140758455,108.89135580073801,20.0,8848.71,8534.26,7779.07,12.39478957302953,-18.861393299519825,6.597210709674517,27.065670952492,12.743760823183173,4.1670685550048745,75914.09928341775,2140.920857784997
CHN,2024,1411.8,17963,0.237,32983.88453742076,7583.341297601956,0.2299104973217612,17622.696957,14501.602456189508,1987.869571,1635.8049124794913,2045.7649285,1683.4466247879175,6149.120285728231,174.32733869128228,10086.880000000001,10.40380469119369,8.933841045243216,9.77699969342967,9.582083392041312,7.595321701540429,7.400501396463319,7.624015741988356,7.429192376258465,8.724226919264293,5.166654733511434,9.219089982252832,17991.641530170004,22173.9591814602,50718.953942925466,507.39824329504427,190.55647140758455,108.89135580073801,9456.449999999999,8848.71,8534.26,-13.68031907776588,-19.398113663659224,4.522350031336941,23.3630008056529,10.271711613677226,4.355517981107969,61188.196017677255,6902.130432402917
CHN,2025,1411.8,17963,0.237,15997.182349256993,977.1253093424162,0.06108108840728442,13852.906799,11168.636384988164,1285.4371629999998,1036.3586846866042,3076.307906,2480.2133522517133,6541.173185116662,123.69875777632609,10637.460361731095,9.680230391597151,6.885637789989086,9.536322551188766,9.320954338712278,7.159631787155428,6.944433035296782,8.031810437264005,7.81650297445306,8.78602468055696,4.825900890938907,9.272231049580347,14501.602456189508,17991.641530170004,22173.9591814602,1635.8049124794913,507.39824329504427,190.55647140758455,10086.880000000001,9456.449999999999,8848.71,-51.50000500666341,-22.983432908676814,6.375755899561186,11.331054221034844,7.910919666374957,4.633215175744909,47125.048037924746,4372.821454373858
GBR,2016,67.5,3070,0.69,2294.2267676355173,998.4261778957372,0.43519071086627503,970.9711965,1047.0306068925001,5.853453999999999,6.311974563333333,14.818711,15.979510028333335,2673.349406,218.6147601,339.18,7.738586927040556,6.907181292178962,6.879326170790914,6.954668069504624,1.9247527587677442,1.9895133553894158,2.761193479879574,2.832007324656107,7.891461417038819,5.391874920946773,5.829474889285946,,,,,,,,,,,,,33.98854470571137,15.511564546555558,39.60517638518518,1517.4356621630438,9.147789222222222
GBR,2017,67.5,3070,0.69,2383.238395301803,1036.135061168103,0.4347593019694076,2150.300806,2270.4930583141577,13.737844,14.50572838514892,42.007845,44.355896719706244,4939.19826,426.2767406,338.22,7.776635021215051,6.944217441955211,7.673827964213753,7.728192629202782,2.690418607406171,2.7412095288852485,3.7613825409135355,3.8145401950037785,8.505160742979875,6.057431907749283,5.826648864443693,1047.0306068925001,,,6.311974563333333,,,339.18,,,3.8798094818683904,116.85068644294864,84.7569288516714,35.30723548595264,33.63693419724678,73.17330755555555,3290.5696497306635,21.022794761085393
GBR,2018,67.5,3070,0.69,2945.7157674058085,1218.4355997935647,0.4136297239793096,2362.266765,2434.705849390681,10.48876,10.810398598168062,79.44786400000001,81.88413860294705,6000.90406,540.9432446,333.76,7.988446529971518,7.106143407564183,7.76780016332455,7.797991870057083,2.441369166106515,2.4689803805430297,4.387609322433338,4.4174437121455865,8.69983204120078,6.295161281196525,5.813413857164673,2270.4930583141577,1047.0306068925001,,14.50572838514892,6.311974563333333,,338.22,339.18,,23.601389320214274,7.232472721077232,21.495508868275316,43.640233591197166,36.06971628726935,88.90228237037037,3528.55920201548,15.667244345171106
